dataset,n_queries,best_single_utility,oracle_utility,oracle_gap
gpqa,37,0.5675675675675675,1.0,0.43243243243243246
emorynlp,142,0.34507042253521125,0.7464788732394366,0.4014084507042254
mbpp,190,0.5263157894736842,0.9157894736842105,0.3894736842105263
meld,255,0.5333333333333333,0.8588235294117647,0.3254901960784314
mmlupro,190,0.6631578947368421,0.9526315789473684,0.2894736842105263
korbench,260,0.573076923076923,0.8192307692307692,0.24615384615384617
humaneval,36,0.7222222222222222,0.9444444444444444,0.2222222222222222
kandk,144,0.7916666666666666,0.9861111111111112,0.19444444444444445
medqa,264,0.7954545454545454,0.9772727272727273,0.18181818181818182
winogrande,248,0.8185483870967742,0.9959677419354839,0.1774193548387097
livecodebench,220,0.6409090909090909,0.8090909090909091,0.16818181818181818
bbh,191,0.837696335078534,1.0,0.16230366492146597
aime,15,0.7333333333333333,0.8666666666666667,0.13333333333333333
finqa,221,0.7601809954751131,0.8868778280542986,0.12669683257918551
livemathbench,26,0.7692307692307693,0.8461538461538461,0.07692307692307693
math500,109,0.926605504587156,0.981651376146789,0.05504587155963303
arcc,230,0.9217391304347826,0.9739130434782609,0.05217391304347826
mathbench,30,0.9666666666666667,1.0,0.03333333333333333
