score,top_fraction,n_flagged,flagged_regret,total_regret,regret_mass_fraction,positive_regret_recall,mean_regret_flagged,mean_regret_unflagged,auc_regret_positive
low_route_label_confidence,0.05,141,49.0,881.0,0.05561861520998865,0.05561861520998865,0.3475177304964539,0.3119610048743907,0.5369741300958304
low_route_label_confidence,0.1,281,93.0,881.0,0.10556186152099886,0.10556186152099886,0.3309608540925267,0.3118322121092204,0.5369741300958304
low_route_label_confidence,0.2,562,193.0,881.0,0.21906923950056753,0.21906923950056753,0.34341637010676157,0.30632235084594833,0.5369741300958304
centroid_distance_risk,0.05,141,35.0,881.0,0.039727582292849034,0.039727582292849034,0.24822695035460993,0.3172103487064117,0.46806390106067847
centroid_distance_risk,0.1,281,75.0,881.0,0.0851305334846765,0.0851305334846765,0.2669039145907473,0.3189552829442026,0.46806390106067847
centroid_distance_risk,0.2,562,165.0,881.0,0.1872871736662883,0.1872871736662883,0.29359430604982206,0.3187889581478183,0.46806390106067847
knn_disagreement,0.05,141,34.0,881.0,0.03859250851305335,0.03859250851305335,0.24113475177304963,0.31758530183727035,0.5271828670420401
knn_disagreement,0.1,281,72.0,881.0,0.08172531214528944,0.08172531214528944,0.25622775800711745,0.32014246141669966,0.5271828670420401
knn_disagreement,0.2,562,183.0,881.0,0.20771850170261066,0.20771850170261066,0.32562277580071175,0.3107747105966162,0.5271828670420401
knn_disagreement_plus_distance,0.05,141,37.0,881.0,0.04199772985244041,0.04199772985244041,0.2624113475177305,0.3164604424446944,0.49793100848389604
knn_disagreement_plus_distance,0.1,281,77.0,881.0,0.08740068104426787,0.08740068104426787,0.27402135231316727,0.3181638306292046,0.49793100848389604
knn_disagreement_plus_distance,0.2,562,168.0,881.0,0.19069239500567536,0.19069239500567536,0.298932384341637,0.317453250222618,0.49793100848389604
oracle_margin_risk_diagnostic,0.05,141,103.0,881.0,0.11691259931895573,0.11691259931895573,0.7304964539007093,0.291713535808024,0.5486458929119443
oracle_margin_risk_diagnostic,0.1,281,134.0,881.0,0.15209988649262202,0.15209988649262202,0.47686832740213525,0.295607439651761,0.5486458929119443
oracle_margin_risk_diagnostic,0.2,562,224.0,881.0,0.2542565266742338,0.2542565266742338,0.398576512455516,0.292520035618878,0.5486458929119443
