scenario,scenario_type,rank_correlation_vs_random,mean_absolute_utility_delta_vs_random,mean_absolute_recovered_gap_delta_vs_random
cluster_held_out:0,cluster_held_out,0.790433332862751,0.11388785306721592,0.5672170296866639
cluster_held_out:1,cluster_held_out,0.47905050476530353,0.19589296362552178,0.18593491320769676
cluster_held_out:2,cluster_held_out,0.8095238095238096,0.040858980386483904,0.24059072228956668
cluster_held_out:3,cluster_held_out,0.7619047619047621,0.025279579403355124,0.1522330737970351
domain_homogeneous:broad_knowledge,domain_homogeneous,0.9759000729485332,0.018785612535612548,0.07800189670265541
domain_homogeneous:code,domain_homogeneous,0.934148484292342,0.021211411622370543,0.12347315436241628
domain_homogeneous:commonsense_reasoning,domain_homogeneous,0.7075275528876865,0.10143683962581598,0.25863210879547816
domain_homogeneous:dialogue,domain_homogeneous,0.8503146459584138,0.18338426110446837,0.16321596905579178
domain_homogeneous:finance,domain_homogeneous,0.8295150620062534,0.02074894710764276,0.26934942628274505
domain_homogeneous:logical_reasoning,domain_homogeneous,0.7319250547114,0.09449786324786323,0.15586549217002219
domain_homogeneous:math,domain_homogeneous,0.9581010095306071,0.11286599389009025,0.9572147651006708
domain_homogeneous:medicine,domain_homogeneous,0.8728715609439696,0.04527278641451869,0.0835850111856823
domain_homogeneous:multilingual,domain_homogeneous,0.8295150620062534,0.08775213675213675,0.08117522614531665
domain_homogeneous:reasoning,domain_homogeneous,0.8295150620062534,0.1421830484330484,0.3014852100422571
domain_homogeneous:science,domain_homogeneous,0.8295150620062534,0.16571136689749827,0.45728771520280165
leave_dataset_out:aime,leave_one_dataset_out,0.7831893756568049,0.07679843304843305,0.836169702780442
leave_dataset_out:arcc,leave_one_dataset_out,0.8143858581010162,0.2161702181966687,0.6059485718745133
leave_dataset_out:bbh,leave_one_dataset_out,0.9101959590540767,0.11984508547008547,0.5121594060201742
leave_dataset_out:emorynlp,leave_one_dataset_out,0.6988459044322258,0.27708570920550835,0.1640133062112928
leave_dataset_out:finqa,leave_one_dataset_out,0.8622909085775463,0.07338705020156633,0.6850016884048795
leave_dataset_out:gpqa,leave_one_dataset_out,0.8143858581010162,0.17922817922817924,0.08749787613626715
leave_dataset_out:humaneval,leave_one_dataset_out,0.45509797952703834,0.11017302480717114,0.25677764040974915
leave_dataset_out:kandk,leave_one_dataset_out,0.8622909085775463,0.13967134717134716,0.6910521620932804
leave_dataset_out:korbench,leave_one_dataset_out,0.8783100656536799,0.18675213675213675,0.09027684563758392
leave_dataset_out:livecodebench,leave_one_dataset_out,0.8143858581010162,0.11998673390853487,0.7244978601303373
leave_dataset_out:livemathbench,leave_one_dataset_out,0.9271050693011065,0.06325492689129053,0.8436101789709171
leave_dataset_out:math500,leave_one_dataset_out,0.8622909085775463,0.14999786324786324,1.6472960764068172
leave_dataset_out:mathbench,leave_one_dataset_out,0.9581010095306071,0.16329772079772079,2.653643336529245
leave_dataset_out:mbpp,leave_one_dataset_out,0.11976262619132588,0.12178280594605032,0.22119171670787702
