bin,bin_low,bin_high,count,mean_confidence,accuracy,predictor
"[0.00, 0.10)",0.0,0.1,580,0.06874179024337593,0.13620689655172413,embedding_centroid_assignment
"[0.10, 0.20)",0.1,0.2,0,,,embedding_centroid_assignment
"[0.20, 0.30)",0.2,0.30000000000000004,0,,,embedding_centroid_assignment
"[0.30, 0.40)",0.30000000000000004,0.4,0,,,embedding_centroid_assignment
"[0.40, 0.50)",0.4,0.5,0,,,embedding_centroid_assignment
"[0.50, 0.60)",0.5,0.6000000000000001,0,,,embedding_centroid_assignment
"[0.60, 0.70)",0.6000000000000001,0.7000000000000001,0,,,embedding_centroid_assignment
"[0.70, 0.80)",0.7000000000000001,0.8,0,,,embedding_centroid_assignment
"[0.80, 0.90)",0.8,0.9,0,,,embedding_centroid_assignment
"[0.90, 1.00]",0.9,1.0,0,,,embedding_centroid_assignment
"[0.00, 0.10)",0.0,0.1,0,,,logistic_label_predictor
"[0.10, 0.20)",0.1,0.2,0,,,logistic_label_predictor
"[0.20, 0.30)",0.2,0.30000000000000004,9,0.28116353497934815,0.1111111111111111,logistic_label_predictor
"[0.30, 0.40)",0.30000000000000004,0.4,51,0.3522362383926677,0.1568627450980392,logistic_label_predictor
"[0.40, 0.50)",0.4,0.5,75,0.4527298741672691,0.17333333333333334,logistic_label_predictor
"[0.50, 0.60)",0.5,0.6000000000000001,78,0.5500214121380685,0.16666666666666666,logistic_label_predictor
"[0.60, 0.70)",0.6000000000000001,0.7000000000000001,72,0.6488555214459252,0.1527777777777778,logistic_label_predictor
"[0.70, 0.80)",0.7000000000000001,0.8,71,0.7493022211140269,0.2112676056338028,logistic_label_predictor
"[0.80, 0.90)",0.8,0.9,80,0.84851856748042,0.175,logistic_label_predictor
"[0.90, 1.00]",0.9,1.0,144,0.9665588351190136,0.09027777777777778,logistic_label_predictor
"[0.00, 0.10)",0.0,0.1,0,,,mlp_label_predictor
"[0.10, 0.20)",0.1,0.2,44,0.14663236818474448,0.045454545454545456,mlp_label_predictor
"[0.20, 0.30)",0.2,0.30000000000000004,24,0.25375998925012977,0.041666666666666664,mlp_label_predictor
"[0.30, 0.40)",0.30000000000000004,0.4,31,0.3477278682698428,0.03225806451612903,mlp_label_predictor
"[0.40, 0.50)",0.4,0.5,34,0.45483711763922025,0.08823529411764706,mlp_label_predictor
"[0.50, 0.60)",0.5,0.6000000000000001,58,0.5529460639316083,0.1206896551724138,mlp_label_predictor
"[0.60, 0.70)",0.6000000000000001,0.7000000000000001,41,0.64647939076022,0.17073170731707318,mlp_label_predictor
"[0.70, 0.80)",0.7000000000000001,0.8,50,0.7501875461097082,0.14,mlp_label_predictor
"[0.80, 0.90)",0.8,0.9,49,0.8494245691951605,0.14285714285714285,mlp_label_predictor
"[0.90, 1.00]",0.9,1.0,249,0.9784212675654245,0.20080321285140562,mlp_label_predictor
"[0.00, 0.10)",0.0,0.1,0,,,knn_label_predictor
"[0.10, 0.20)",0.1,0.2,25,0.13333333333333333,0.12,knn_label_predictor
"[0.20, 0.30)",0.2,0.30000000000000004,351,0.2339981006647673,0.15384615384615385,knn_label_predictor
"[0.30, 0.40)",0.30000000000000004,0.4,121,0.3333333333333333,0.2231404958677686,knn_label_predictor
"[0.40, 0.50)",0.4,0.5,64,0.41770833333333335,0.34375,knn_label_predictor
"[0.50, 0.60)",0.5,0.6000000000000001,16,0.5541666666666667,0.625,knn_label_predictor
"[0.60, 0.70)",0.6000000000000001,0.7000000000000001,3,0.6666666666666666,1.0,knn_label_predictor
"[0.70, 0.80)",0.7000000000000001,0.8,0,,,knn_label_predictor
"[0.80, 0.90)",0.8,0.9,0,,,knn_label_predictor
"[0.90, 1.00]",0.9,1.0,0,,,knn_label_predictor
