score,top_fraction,n_flagged,flagged_regret,total_regret,regret_mass_fraction,positive_regret_recall,mean_regret_flagged,mean_regret_unflagged,auc_regret_positive
low_route_label_confidence,0.05,29,9.0,164.0,0.054878048780487805,0.054878048780487805,0.3103448275862069,0.2813067150635209,0.5547241439962477
low_route_label_confidence,0.1,58,20.0,164.0,0.12195121951219512,0.12195121951219512,0.3448275862068966,0.27586206896551724,0.5547241439962477
low_route_label_confidence,0.2,116,40.0,164.0,0.24390243902439024,0.24390243902439024,0.3448275862068966,0.2672413793103448,0.5547241439962477
centroid_distance_risk,0.05,29,2.0,164.0,0.012195121951219513,0.012195121951219513,0.06896551724137931,0.294010889292196,0.45600521810506567
centroid_distance_risk,0.1,58,10.0,164.0,0.06097560975609756,0.06097560975609756,0.1724137931034483,0.2950191570881226,0.45600521810506567
centroid_distance_risk,0.2,116,25.0,164.0,0.1524390243902439,0.1524390243902439,0.21551724137931033,0.2995689655172414,0.45600521810506567
knn_disagreement,0.05,29,5.0,164.0,0.03048780487804878,0.03048780487804878,0.1724137931034483,0.2885662431941924,0.5614446529080676
knn_disagreement,0.1,58,15.0,164.0,0.09146341463414634,0.09146341463414634,0.25862068965517243,0.28544061302681994,0.5614446529080676
knn_disagreement,0.2,116,34.0,164.0,0.2073170731707317,0.2073170731707317,0.29310344827586204,0.2801724137931034,0.5614446529080676
knn_disagreement_plus_distance,0.05,29,4.0,164.0,0.024390243902439025,0.024390243902439025,0.13793103448275862,0.29038112522686027,0.5384835248592871
knn_disagreement_plus_distance,0.1,58,16.0,164.0,0.0975609756097561,0.0975609756097561,0.27586206896551724,0.2835249042145594,0.5384835248592871
knn_disagreement_plus_distance,0.2,116,31.0,164.0,0.18902439024390244,0.18902439024390244,0.2672413793103448,0.28663793103448276,0.5384835248592871
oracle_margin_risk_diagnostic,0.05,29,22.0,164.0,0.13414634146341464,0.13414634146341464,0.7586206896551724,0.2577132486388385,0.6325633208255159
oracle_margin_risk_diagnostic,0.1,58,44.0,164.0,0.2682926829268293,0.2682926829268293,0.7586206896551724,0.22988505747126436,0.6325633208255159
oracle_margin_risk_diagnostic,0.2,116,64.0,164.0,0.3902439024390244,0.3902439024390244,0.5517241379310345,0.21551724137931033,0.6325633208255159
