scenario,scenario_type,rate_log2K_to_80pct_learned_gain,best_routecode_predicted_recovered_gap_vs_learned,best_routecode_predicted_recovered_gap_vs_oracle
random,random,,0.05000000000000008,0.015037593984962431
leave_dataset_out:aime,leave_one_dataset_out,,0.0,0.0
leave_dataset_out:gpqa,leave_one_dataset_out,,0.0,0.0
leave_domain_out:broad_knowledge,leave_one_domain_out,,0.0,0.0
domain_homogeneous:broad_knowledge,domain_homogeneous,,0.0,0.06896551724137936
leave_domain_out:code,leave_one_domain_out,,0.0,0.42276422764227656
domain_homogeneous:code,domain_homogeneous,,0.0,0.0
cluster_held_out:0,cluster_held_out,,0.0,0.0
cluster_held_out:1,cluster_held_out,,0.7464788732394366,0.34415584415584405
model_pool_holdout:DeepSeek-R1-Distill-Qwen-7B,model_pool_holdout,,0.025000000000000844,0.007751937984496387
model_pool_holdout:Intern-S1-mini,model_pool_holdout,,0.1860465116279071,0.06400000000000011
