mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,pool_family,pool_name,model_count,models,d2_alpha,d2_beta,train_best_single_model,train_oracle_gap,train_dominance_ratio,train_winner_entropy,test_best_single_model,test_oracle_gap,test_dominance_ratio,test_winner_entropy
0.7068965517241379,0.0896551724137931,0.7068965517241379,0.0,best_single,,0.6706896551724137,0.7380172413793102,0.0,0.0,0.0,0.0,,top,top_2,2,GLM-Z1-9B-0414;Qwen3-8B,,,GLM-Z1-9B-0414,0.09896432681242806,0.9010356731875719,0.465703963726638,GLM-Z1-9B-0414,0.08965517241379317,0.9103448275862069,0.4353177790414858
0.696551724137931,0.1,0.696551724137931,0.04328003723183548,kNN,,0.6586206896551724,0.741551724137931,0.0,-0.11538461538461553,0.8473398417370634,0.0,,top,top_2,2,GLM-Z1-9B-0414;Qwen3-8B,,,GLM-Z1-9B-0414,0.09896432681242806,0.9010356731875719,0.465703963726638,GLM-Z1-9B-0414,0.08965517241379317,0.9103448275862069,0.4353177790414858
0.696551724137931,0.1,0.696551724137931,0.09584586817119409,d2_embedding_centroid,2,0.6689655172413793,0.7388362068965517,0.0,-0.11538461538461553,0.9211426316005453,1.0,0.9211426316005453,top,top_2,2,GLM-Z1-9B-0414;Qwen3-8B,3.0,0.0,GLM-Z1-9B-0414,0.09896432681242806,0.9010356731875719,0.465703963726638,GLM-Z1-9B-0414,0.08965517241379317,0.9103448275862069,0.4353177790414858
0.7068965517241379,0.11896551724137931,0.7068965517241379,0.0,best_single,,0.670603448275862,0.7500862068965517,0.0,0.0,0.0,0.0,,complementary,complementary_2,2,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct,,,GLM-Z1-9B-0414,0.11162255466052928,0.8883774453394706,0.5047907575357933,GLM-Z1-9B-0414,0.11896551724137938,0.8810344827586207,0.5263799481583513
0.7551724137931034,0.0706896551724138,0.7551724137931034,0.0,kNN,,0.7241379310344828,0.7845689655172413,1.0,0.405797101449275,0.861487212880816,0.0,,complementary,complementary_2,2,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct,,,GLM-Z1-9B-0414,0.11162255466052928,0.8883774453394706,0.5047907575357933,GLM-Z1-9B-0414,0.11896551724137938,0.8810344827586207,0.5263799481583513
0.753448275862069,0.07241379310344828,0.753448275862069,0.0,d2_embedding_centroid,2,0.7085344827586206,0.7829310344827586,0.9642857142857153,0.39130434782608703,0.9211426316005453,1.0,0.9211426316005453,complementary,complementary_2,2,GLM-Z1-9B-0414;Qwen2.5-Coder-7B-Instruct,3.0,0.0,GLM-Z1-9B-0414,0.11162255466052928,0.8883774453394706,0.5047907575357933,GLM-Z1-9B-0414,0.11896551724137938,0.8810344827586207,0.5263799481583513
0.7068965517241379,0.027586206896551724,0.7068965517241379,0.0,best_single,,0.6758620689655173,0.7397413793103448,0.0,0.0,0.0,0.0,,dominated,dominated_2,2,GLM-Z1-9B-0414;OpenThinker3-7B,,,GLM-Z1-9B-0414,0.03394706559263516,0.9660529344073648,0.21381541716444488,GLM-Z1-9B-0414,0.02758620689655178,0.9724137931034482,0.18213846457886634
0.7017241379310345,0.032758620689655175,0.7017241379310345,0.0,kNN,,0.6646120689655173,0.7327586206896551,0.0,-0.187499999999998,0.18213846457886634,0.0,,dominated,dominated_2,2,GLM-Z1-9B-0414;OpenThinker3-7B,,,GLM-Z1-9B-0414,0.03394706559263516,0.9660529344073648,0.21381541716444488,GLM-Z1-9B-0414,0.02758620689655178,0.9724137931034482,0.18213846457886634
0.7068965517241379,0.027586206896551724,0.7068965517241379,0.0,d2_embedding_centroid,2,0.6724137931034483,0.7440086206896551,0.0,0.0,0.0,1.0,0.9194409731704831,dominated,dominated_2,2,GLM-Z1-9B-0414;OpenThinker3-7B,3.0,0.0,GLM-Z1-9B-0414,0.03394706559263516,0.9660529344073648,0.21381541716444488,GLM-Z1-9B-0414,0.02758620689655178,0.9724137931034482,0.18213846457886634
0.7068965517241379,0.16034482758620688,0.7068965517241379,0.0,best_single,,0.6672413793103448,0.7414655172413792,0.0,0.0,0.0,0.0,,top,top_4,4,GLM-Z1-9B-0414;Qwen3-8B;NVIDIA-Nemotron-Nano-9B-v2;Fin-R1,,,GLM-Z1-9B-0414,0.16340621403912536,0.8365937859608745,0.863737613601771,GLM-Z1-9B-0414,0.16034482758620694,0.8396551724137931,0.8637861453723304
