query_id,probe_cost
humaneval:test:8,0.0001
humaneval:test:19,0.0001
humaneval:test:21,0.0001
humaneval:test:33,0.0001
humaneval:test:34,0.0001
humaneval:test:39,0.0001
humaneval:test:43,0.0001
humaneval:test:51,0.0001
humaneval:test:53,0.0001
humaneval:test:54,0.0001
humaneval:test:61,0.0001
humaneval:test:69,0.0001
humaneval:test:74,0.0001
humaneval:test:83,0.0001
humaneval:test:84,0.0001
humaneval:test:85,0.0001
humaneval:test:86,0.0001
humaneval:test:102,0.0001
humaneval:test:105,0.0001
humaneval:test:119,0.0001
humaneval:test:136,0.0001
humaneval:test:145,0.0001
humaneval:test:151,0.0001
humaneval:test:153,0.0001
humaneval:test:156,0.0001
humaneval:test:159,0.0001
humaneval:test:162,0.0001
mmlupro:test_1000:1,0.0001
mmlupro:test_1000:8,0.0001
mmlupro:test_1000:10,0.0001
mmlupro:test_1000:18,0.0001
mmlupro:test_1000:27,0.0001
mmlupro:test_1000:34,0.0001
mmlupro:test_1000:35,0.0001
mmlupro:test_1000:37,0.0001
mmlupro:test_1000:46,0.0001
mmlupro:test_1000:57,0.0001
mmlupro:test_1000:60,0.0001
mmlupro:test_1000:63,0.0001
mmlupro:test_1000:64,0.0001
mmlupro:test_1000:67,0.0001
mmlupro:test_1000:72,0.0001
mmlupro:test_1000:73,0.0001
mmlupro:test_1000:78,0.0001
mmlupro:test_1000:81,0.0001
mmlupro:test_1000:89,0.0001
mmlupro:test_1000:97,0.0001
mmlupro:test_1000:106,0.0001
mmlupro:test_1000:115,0.0001
mmlupro:test_1000:120,0.0001
mmlupro:test_1000:121,0.0001
mmlupro:test_1000:124,0.0001
mmlupro:test_1000:129,0.0001
mmlupro:test_1000:131,0.0001
mmlupro:test_1000:133,0.0001
mmlupro:test_1000:137,0.0001
mmlupro:test_1000:139,0.0001
mmlupro:test_1000:143,0.0001
mmlupro:test_1000:162,0.0001
mmlupro:test_1000:166,0.0001
mmlupro:test_1000:173,0.0001
mmlupro:test_1000:198,0.0001
mmlupro:test_1000:200,0.0001
mmlupro:test_1000:203,0.0001
mmlupro:test_1000:208,0.0001
mmlupro:test_1000:210,0.0001
mmlupro:test_1000:214,0.0001
mmlupro:test_1000:220,0.0001
mmlupro:test_1000:222,0.0001
mmlupro:test_1000:225,0.0001
mmlupro:test_1000:228,0.0001
mmlupro:test_1000:250,0.0001
mmlupro:test_1000:254,0.0001
mmlupro:test_1000:256,0.0001
mmlupro:test_1000:259,0.0001
mmlupro:test_1000:261,0.0001
mmlupro:test_1000:262,0.0001
mmlupro:test_1000:264,0.0001
mmlupro:test_1000:272,0.0001
mmlupro:test_1000:275,0.0001
mmlupro:test_1000:284,0.0001
mmlupro:test_1000:290,0.0001
mmlupro:test_1000:291,0.0001
mmlupro:test_1000:307,0.0001
mmlupro:test_1000:308,0.0001
mmlupro:test_1000:309,0.0001
mmlupro:test_1000:317,0.0001
mmlupro:test_1000:321,0.0001
mmlupro:test_1000:325,0.0001
mmlupro:test_1000:326,0.0001
mmlupro:test_1000:335,0.0001
mmlupro:test_1000:346,0.0001
mmlupro:test_1000:348,0.0001
mmlupro:test_1000:354,0.0001
mmlupro:test_1000:355,0.0001
mmlupro:test_1000:362,0.0001
mmlupro:test_1000:367,0.0001
mmlupro:test_1000:368,0.0001
mmlupro:test_1000:377,0.0001
mmlupro:test_1000:380,0.0001
mmlupro:test_1000:386,0.0001
mmlupro:test_1000:393,0.0001
mmlupro:test_1000:401,0.0001
mmlupro:test_1000:405,0.0001
mmlupro:test_1000:428,0.0001
mmlupro:test_1000:431,0.0001
mmlupro:test_1000:432,0.0001
mmlupro:test_1000:438,0.0001
mmlupro:test_1000:439,0.0001
mmlupro:test_1000:446,0.0001
mmlupro:test_1000:450,0.0001
mmlupro:test_1000:451,0.0001
mmlupro:test_1000:464,0.0001
mmlupro:test_1000:471,0.0001
mmlupro:test_1000:482,0.0001
mmlupro:test_1000:491,0.0001
mmlupro:test_1000:496,0.0001
mmlupro:test_1000:499,0.0001
mmlupro:test_1000:501,0.0001
mmlupro:test_1000:502,0.0001
mmlupro:test_1000:505,0.0001
mmlupro:test_1000:520,0.0001
mmlupro:test_1000:524,0.0001
mmlupro:test_1000:525,0.0001
mmlupro:test_1000:526,0.0001
mmlupro:test_1000:527,0.0001
mmlupro:test_1000:530,0.0001
mmlupro:test_1000:531,0.0001
mmlupro:test_1000:532,0.0001
mmlupro:test_1000:536,0.0001
mmlupro:test_1000:543,0.0001
mmlupro:test_1000:544,0.0001
mmlupro:test_1000:546,0.0001
mmlupro:test_1000:554,0.0001
mmlupro:test_1000:555,0.0001
mmlupro:test_1000:559,0.0001
mmlupro:test_1000:564,0.0001
mmlupro:test_1000:565,0.0001
mmlupro:test_1000:583,0.0001
mmlupro:test_1000:584,0.0001
mmlupro:test_1000:586,0.0001
mmlupro:test_1000:587,0.0001
mmlupro:test_1000:593,0.0001
mmlupro:test_1000:595,0.0001
mmlupro:test_1000:597,0.0001
mmlupro:test_1000:599,0.0001
mmlupro:test_1000:601,0.0001
mmlupro:test_1000:606,0.0001
mmlupro:test_1000:612,0.0001
mmlupro:test_1000:614,0.0001
mmlupro:test_1000:622,0.0001
mmlupro:test_1000:628,0.0001
mmlupro:test_1000:629,0.0001
mmlupro:test_1000:634,0.0001
mmlupro:test_1000:635,0.0001
mmlupro:test_1000:636,0.0001
mmlupro:test_1000:638,0.0001
mmlupro:test_1000:641,0.0001
mmlupro:test_1000:647,0.0001
mmlupro:test_1000:649,0.0001
mmlupro:test_1000:655,0.0001
mmlupro:test_1000:659,0.0001
mmlupro:test_1000:677,0.0001
