query_id,state_label,split
humaneval:test:2,0,train
humaneval:test:3,0,train
humaneval:test:4,0,train
humaneval:test:5,0,train
humaneval:test:6,0,train
humaneval:test:7,4,train
humaneval:test:9,0,train
humaneval:test:10,8,train
humaneval:test:11,0,train
humaneval:test:12,0,train
humaneval:test:13,0,train
humaneval:test:14,0,train
humaneval:test:15,0,train
humaneval:test:16,0,train
humaneval:test:17,11,train
humaneval:test:18,9,train
humaneval:test:20,0,train
humaneval:test:23,0,train
humaneval:test:24,0,train
humaneval:test:25,0,train
humaneval:test:26,3,train
humaneval:test:27,0,train
humaneval:test:30,0,train
humaneval:test:32,0,train
humaneval:test:35,8,train
humaneval:test:36,5,train
humaneval:test:37,0,train
humaneval:test:38,9,train
humaneval:test:40,0,train
humaneval:test:41,0,train
humaneval:test:42,9,train
humaneval:test:44,0,train
humaneval:test:47,11,train
humaneval:test:48,0,train
humaneval:test:49,0,train
humaneval:test:50,10,train
humaneval:test:52,12,train
humaneval:test:55,0,train
humaneval:test:57,0,train
humaneval:test:58,0,train
humaneval:test:59,8,train
humaneval:test:60,0,train
humaneval:test:62,0,train
humaneval:test:63,10,train
humaneval:test:64,0,train
humaneval:test:65,0,train
humaneval:test:68,9,train
humaneval:test:71,0,train
humaneval:test:72,11,train
humaneval:test:75,11,train
humaneval:test:76,0,train
humaneval:test:77,0,train
humaneval:test:78,15,train
humaneval:test:81,0,train
humaneval:test:82,10,train
humaneval:test:87,10,train
humaneval:test:88,9,train
humaneval:test:89,14,train
humaneval:test:90,0,train
humaneval:test:91,0,train
humaneval:test:92,10,train
humaneval:test:93,0,train
humaneval:test:94,0,train
humaneval:test:95,0,train
humaneval:test:96,0,train
humaneval:test:97,0,train
humaneval:test:98,0,train
humaneval:test:100,0,train
humaneval:test:101,11,train
humaneval:test:104,0,train
humaneval:test:107,0,train
humaneval:test:108,0,train
humaneval:test:109,0,train
humaneval:test:110,0,train
humaneval:test:111,10,train
humaneval:test:114,0,train
humaneval:test:116,0,train
humaneval:test:118,0,train
humaneval:test:120,4,train
humaneval:test:121,0,train
humaneval:test:122,0,train
humaneval:test:123,0,train
humaneval:test:124,0,train
humaneval:test:125,0,train
humaneval:test:126,6,train
humaneval:test:127,0,train
humaneval:test:128,0,train
humaneval:test:129,0,train
humaneval:test:130,10,train
humaneval:test:132,0,train
humaneval:test:133,0,train
humaneval:test:134,0,train
humaneval:test:135,0,train
humaneval:test:137,0,train
humaneval:test:139,0,train
humaneval:test:140,0,train
humaneval:test:141,0,train
humaneval:test:142,10,train
humaneval:test:143,0,train
humaneval:test:144,10,train
humaneval:test:146,10,train
humaneval:test:147,0,train
humaneval:test:148,0,train
humaneval:test:149,0,train
humaneval:test:150,0,train
humaneval:test:152,0,train
humaneval:test:154,10,train
humaneval:test:155,0,train
humaneval:test:158,0,train
humaneval:test:160,12,train
humaneval:test:161,10,train
humaneval:test:163,0,train
mmlupro:test_1000:2,3,train
mmlupro:test_1000:4,12,train
mmlupro:test_1000:5,10,train
mmlupro:test_1000:6,11,train
mmlupro:test_1000:9,13,train
mmlupro:test_1000:12,10,train
mmlupro:test_1000:14,4,train
mmlupro:test_1000:16,11,train
