candidate,candidate_type,selection_basis,deployable,n_queries,mean_utility,oracle_mean_utility,abs_gap_to_oracle,relative_gap_to_oracle,threshold,within_threshold,regret_count,notes,val_relative_gap_to_oracle,test_relative_gap_to_oracle
dataset_model_rule:exact_math_qwen_intern,benchmark_label_route_rule,targeted_exact_math_benchmark_label_rule,True,41,0.926829268292683,0.926829268292683,0.0,0.0,0.03,True,0.0,Benchmark-label route rule: query metadata -> route label -> selected model.,0.08333333333333341,0.026548672566371726
routecode_state_oracle_upper:k32:alpha0,routecode_state_oracle_upper,policy_slice_candidate_not_val_selected; diagnostic_uses_eval_utility_for_label_assignment,False,41,0.926829268292683,0.926829268292683,0.0,0.0,0.03,True,0.0,"Diagnostic upper bound: assigns labels using eval utility, not deployable.",0.24710424710424717,0.25
target_rate_routecode:always_probe,proberoute_policy,current_phase2_policy_table,True,41,0.902439024390244,0.9268292682926831,0.024390243902439046,0.02631578947368423,0.03,True,,Existing M5 policy row with probe-cost accounting.,,
target_rate_routecode:entropy_threshold,proberoute_policy,current_phase2_policy_table,True,41,0.902439024390244,0.9268292682926831,0.024390243902439046,0.02631578947368423,0.03,True,,Existing M5 policy row with probe-cost accounting.,,
target_rate_routecode:margin_threshold,proberoute_policy,current_phase2_policy_table,True,41,0.902439024390244,0.9268292682926831,0.024390243902439046,0.02631578947368423,0.03,True,,Existing M5 policy row with probe-cost accounting.,,
target_rate_routecode:never_probe,proberoute_policy,current_phase2_policy_table,True,41,0.902439024390244,0.9268292682926831,0.024390243902439046,0.02631578947368423,0.03,True,,Existing M5 policy row with probe-cost accounting.,,
target_rate_routecode:oracle_probe,proberoute_policy,current_phase2_policy_table,True,41,0.902439024390244,0.9268292682926831,0.024390243902439046,0.02631578947368423,0.03,True,,Existing M5 policy row with probe-cost accounting.,,
target_rate_routecode:voi_probe,proberoute_policy,current_phase2_policy_table,True,41,0.902439024390244,0.9268292682926831,0.024390243902439046,0.02631578947368423,0.03,True,,Existing M5 policy row with probe-cost accounting.,,
routecode_embedding_predicted:k32:alpha0,routecode_embedding_centroid,policy_slice_candidate_not_val_selected,True,41,0.9024390243902439,0.926829268292683,0.024390243902439046,0.026315789473684233,0.03,True,1.0,Train-fit RouteCode labels predicted from query embeddings.,0.24710424710424717,0.25
target_rate_routecode_inputs:after_belief_expected,belief_expected_action,current_phase2_policy_inputs,True,41,0.9024390243902439,0.926829268292683,0.024390243902439046,0.026315789473684233,0.03,True,1.0,Expected model utility under predicted state belief.,,
target_rate_routecode_inputs:after_hard_top_state,hard_top_state_action,current_phase2_policy_inputs,True,41,0.9024390243902439,0.926829268292683,0.024390243902439046,0.026315789473684233,0.03,True,1.0,Best action for top predicted state only; no belief averaging.,,
target_rate_routecode_inputs:before_belief_expected,belief_expected_action,current_phase2_policy_inputs,True,41,0.9024390243902439,0.926829268292683,0.024390243902439046,0.026315789473684233,0.03,True,1.0,Expected model utility under predicted state belief.,,
target_rate_routecode_inputs:before_hard_top_state,hard_top_state_action,current_phase2_policy_inputs,True,41,0.9024390243902439,0.926829268292683,0.024390243902439046,0.026315789473684233,0.03,True,1.0,Best action for top predicted state only; no belief averaging.,,
answer_policy:never_probe,proberoute_policy,current_phase2_policy_table,True,41,0.8536585365853658,0.9268292682926829,0.07317073170731703,0.07894736842105259,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
answer_policy:oracle_probe,proberoute_policy,current_phase2_policy_table,True,41,0.8536585365853658,0.9268292682926829,0.07317073170731703,0.07894736842105259,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
answer_policy:voi_probe,proberoute_policy,current_phase2_policy_table,True,41,0.8536585365853658,0.9268292682926829,0.07317073170731703,0.07894736842105259,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
combined_policy:never_probe,proberoute_policy,current_phase2_policy_table,True,41,0.8536585365853658,0.9268292682926829,0.07317073170731703,0.07894736842105259,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
combined_policy:oracle_probe,proberoute_policy,current_phase2_policy_table,True,41,0.8536585365853658,0.9268292682926829,0.07317073170731703,0.07894736842105259,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
combined_policy:voi_probe,proberoute_policy,current_phase2_policy_table,True,41,0.8536585365853658,0.9268292682926829,0.07317073170731703,0.07894736842105259,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
confidence_policy:never_probe,proberoute_policy,current_phase2_policy_table,True,41,0.8536585365853658,0.9268292682926829,0.07317073170731703,0.07894736842105259,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
confidence_policy:oracle_probe,proberoute_policy,current_phase2_policy_table,True,41,0.8536585365853658,0.9268292682926829,0.07317073170731703,0.07894736842105259,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
confidence_policy:voi_probe,proberoute_policy,current_phase2_policy_table,True,41,0.8536585365853658,0.9268292682926829,0.07317073170731703,0.07894736842105259,0.03,False,,Existing M5 policy row with probe-cost accounting.,,
answer_inputs:after_belief_expected,belief_expected_action,current_phase2_policy_inputs,True,41,0.8536585365853658,0.926829268292683,0.07317073170731714,0.0789473684210527,0.03,False,3.0,Expected model utility under predicted state belief.,,
answer_inputs:before_belief_expected,belief_expected_action,current_phase2_policy_inputs,True,41,0.8536585365853658,0.926829268292683,0.07317073170731714,0.0789473684210527,0.03,False,3.0,Expected model utility under predicted state belief.,,
combined_inputs:after_belief_expected,belief_expected_action,current_phase2_policy_inputs,True,41,0.8536585365853658,0.926829268292683,0.07317073170731714,0.0789473684210527,0.03,False,3.0,Expected model utility under predicted state belief.,,
combined_inputs:before_belief_expected,belief_expected_action,current_phase2_policy_inputs,True,41,0.8536585365853658,0.926829268292683,0.07317073170731714,0.0789473684210527,0.03,False,3.0,Expected model utility under predicted state belief.,,
