query_id,before_top_state,after_top_state,top_state_changed,before_top_state_action,after_top_state_action,top_state_action_changed,before_selected_model,after_selected_model,selected_model_changed,action_equivalent_top_state_change,oracle_selected_model,before_matches_oracle_model,after_matches_oracle_model,before_utility,after_utility,oracle_utility,utility_delta,before_regret,after_regret,regret_delta,belief_l1_shift,belief_top_prob_shift
math500:test:6,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004149740653476778,0.000911769663632378
math500:test:7,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016726421619790485,0.008353414680342786
math500:test:8,z4,z4,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,Qwen3-8B,True,False,Qwen3-8B,False,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1185784425074603,-0.030611029698539904
math500:test:9,z9,z9,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004941863106745534,-0.0017575557205994352
math500:test:13,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08581702075873889,-0.04274790976151699
math500:test:16,z5,z5,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07677023227666033,0.031481707444621865
math500:test:24,z0,z0,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26926194695630634,0.13423955018347744
math500:test:43,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.093375456251529,0.046687728125764605
math500:test:46,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.005406472970096026,0.0026914907892959805
math500:test:50,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0005140199393375766,-0.0002565071936477814
math500:test:58,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.7659487579129527e-06,8.829743788352218e-07
math500:test:61,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07632716337438819,0.03492350941943978
math500:test:69,z10,z10,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1494840386671953,-0.07223790935512264
math500:test:71,z9,z9,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0011184234706709411,-0.0003073406029150405
math500:test:77,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07138192136597603,-0.03569096068298794
math500:test:84,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004567594378489152,-0.0013808756379366516
math500:test:85,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,Qwen3-8B,True,False,Qwen3-8B,False,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4554499963419685,-0.22344686516505513
math500:test:92,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.030338280615409646,0.013682605956506944
math500:test:95,z5,z5,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13696746707677837,0.06751604350844909
math500:test:99,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18894461000105037,-0.0942438074875851
math500:test:100,z0,z0,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.016511947108230705,0.008247128960822803
math500:test:102,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12100528781585605,0.05400572609208587
math500:test:104,z0,z0,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37573500249836317,0.18608152381224563
math500:test:109,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.05625141325081667,0.028125706625408364
math500:test:110,z11,z11,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,MiniCPM4.1-8B,MiniCPM4.1-8B,False,False,Qwen3-8B,False,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011875363872988176,-0.005631794177784477
math500:test:124,z5,z5,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.009537391307552006,0.004165972691478004
math500:test:129,z9,z9,False,Qwen3-8B,Qwen3-8B,False,Qwen3-8B,Qwen3-8B,False,False,Qwen3-8B,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1294942402200593,-0.06389372893535239
