candidate,k,alpha,selection_basis,training_datasets,validation_datasets,n_train_queries,n_validation_queries,n_test_queries,n_policy_slice_queries,val_relative_gap_to_oracle,test_relative_gap_to_oracle,policy_slice_relative_gap_to_oracle,policy_slice_mean_utility,policy_slice_oracle_mean_utility,policy_slice_regret_count,val_selection_rank,selected_by_val,policy_slice_within_threshold,val_selected_policy_slice_within_threshold,selected_by_target_rate,target_rate_selection_rank,target_rate_policy_slice_within_threshold
routecode_embedding_predicted:k4:alpha0,4,0.0,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.041666666666666706,0.035398230088495596,0.05263157894736847,0.8780487804878049,0.926829268292683,2,1,True,False,False,False,,False
routecode_embedding_predicted:k16:alpha3,16,3.0,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.041666666666666706,0.053097345132743334,0.0789473684210527,0.8536585365853658,0.926829268292683,3,2,False,False,False,False,,False
routecode_embedding_predicted:k4:alpha0.05,4,0.05,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.05208333333333332,0.04424778761061947,0.0789473684210527,0.8536585365853658,0.926829268292683,3,3,False,False,False,False,,False
routecode_embedding_predicted:k4:alpha1,4,1.0,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.05208333333333332,0.07079646017699119,0.13157894736842105,0.8048780487804879,0.926829268292683,5,4,False,False,False,False,,False
routecode_embedding_predicted:k32:alpha0,32,0.0,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.06250000000000006,0.035398230088495596,0.026315789473684233,0.9024390243902439,0.926829268292683,1,5,False,True,False,True,1.0,True
routecode_embedding_predicted:k64:alpha0,64,0.0,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.06250000000000006,0.04424778761061947,0.026315789473684233,0.9024390243902439,0.926829268292683,1,6,False,True,False,False,,False
routecode_embedding_predicted:k64:alpha0.05,64,0.05,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.06250000000000006,0.035398230088495596,0.026315789473684233,0.9024390243902439,0.926829268292683,1,7,False,True,False,False,,False
routecode_embedding_predicted:k128:alpha0,128,0.0,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.06250000000000006,0.04424778761061947,0.026315789473684233,0.9024390243902439,0.926829268292683,1,8,False,True,False,False,,False
routecode_embedding_predicted:k4:alpha3,4,3.0,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,9,False,False,False,False,,False
routecode_embedding_predicted:k4:alpha10,4,10.0,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,10,False,False,False,False,,False
routecode_embedding_predicted:k8:alpha3,8,3.0,exact_math_validation_grid,all,"aime,math500",1738,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,11,False,False,False,False,,False
