state_label,Qwen3-8B,Intern-S1-mini,MiniCPM4.1-8B,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,DeepSeek-R1-Distill-Qwen-7B
z0,0.0,0.08333333333333333,0.20833333333333334,0.0,0.75,1.0
z1,1.0,1.0,1.0,1.0,1.0,1.0
z2,0.0,0.0,0.0,0.0,0.0,0.0
z3,1.0,1.0,1.0,1.0,0.0,1.0
z4,0.0,0.08974358974358974,0.05128205128205128,1.0,0.0,0.0
z5,1.0,1.0,0.0,1.0,1.0,1.0
z6,0.9622641509433962,1.0,1.0,0.0,0.0,1.0
z7,0.0,0.2807017543859649,1.0,0.0,0.14035087719298245,0.15789473684210525
z8,1.0,0.0,0.0,1.0,0.0,0.0
z9,0.8,1.0,1.0,0.0,1.0,0.0
z10,1.0,1.0,1.0,0.0,0.0,0.0
z11,0.0,0.0,1.0,1.0,0.8780487804878049,0.9024390243902439
z12,1.0,0.0,1.0,1.0,1.0,1.0
z13,0.0,0.14285714285714285,0.0,1.0,1.0,0.0
z14,1.0,1.0,1.0,0.0,1.0,1.0
z15,1.0,1.0,0.0,1.0,0.725,0.0
z16,1.0,1.0,0.0,0.0,0.4090909090909091,1.0
z17,1.0,1.0,1.0,1.0,1.0,0.0
z18,1.0,0.0,0.0,0.0,0.21052631578947367,0.15789473684210525
z19,0.0,1.0,0.0,0.0,0.043478260869565216,0.08695652173913043
z20,1.0,0.0,1.0,0.0,0.25806451612903225,0.0
z21,1.0,1.0,1.0,1.0,0.0,0.0
z22,0.9,1.0,0.0,1.0,0.0,1.0
z23,1.0,0.0,0.0,0.9210526315789473,0.7105263157894737,1.0
z24,1.0,0.0,0.0,1.0,1.0,0.0
z25,0.0,1.0,1.0,0.9411764705882353,0.7647058823529411,0.8529411764705882
z26,1.0,0.0,1.0,1.0,0.4642857142857143,0.0
z27,1.0,1.0,0.0,0.0,0.2903225806451613,0.0
z28,1.0,0.0,1.0,0.0,0.2413793103448276,1.0
z29,1.0,0.0,1.0,1.0,0.0,1.0
z30,0.0,0.0,0.0,0.0,1.0,0.0
z31,0.0,0.40625,0.0,1.0,0.78125,1.0
