method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,recovered_gap_vs_oracle_mean,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max
active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,3,0.683908,0.034238,0.646552,0.713793,0.072682,16.0,16,16
active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,2,3,0.67931,0.01943,0.667241,0.701724,0.052632,32.0,32,32
active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,3,0.727011,0.015453,0.717241,0.744828,0.260652,63.333333,62,64
active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,3,0.672989,0.06968,0.598276,0.736207,0.025063,126.0,122,128
active_route_state_calibration,Intern-S1-mini,1,3,0.657471,0.051156,0.603448,0.705172,-0.042607,16.0,16,16
active_route_state_calibration,Intern-S1-mini,2,3,0.71954,0.006968,0.715517,0.727586,0.22807,32.0,32,32
active_route_state_calibration,Intern-S1-mini,4,3,0.70977,0.031807,0.682759,0.744828,0.185464,64.0,64,64
active_route_state_calibration,Intern-S1-mini,8,3,0.733333,0.007775,0.725862,0.741379,0.288221,127.0,126,128
active_route_state_calibration,Llama-3.1-8B-Instruct,1,3,0.616092,0.020205,0.593103,0.631034,-0.223058,16.0,16,16
active_route_state_calibration,Llama-3.1-8B-Instruct,2,3,0.701149,0.02968,0.667241,0.722414,0.14787,31.333333,30,32
active_route_state_calibration,Llama-3.1-8B-Instruct,4,3,0.687356,0.055181,0.624138,0.725862,0.087719,61.0,58,64
active_route_state_calibration,Llama-3.1-8B-Instruct,8,3,0.71092,0.010103,0.703448,0.722414,0.190476,118.333333,113,125
active_route_state_calibration,MiniCPM4.1-8B,1,3,0.73046,0.008848,0.72069,0.737931,0.275689,16.0,16,16
active_route_state_calibration,MiniCPM4.1-8B,2,3,0.73046,0.01148,0.717241,0.737931,0.275689,31.333333,31,32
active_route_state_calibration,MiniCPM4.1-8B,4,3,0.725287,0.009496,0.715517,0.734483,0.253133,61.333333,59,64
active_route_state_calibration,MiniCPM4.1-8B,8,3,0.737931,0.0096,0.72931,0.748276,0.308271,119.333333,115,125
active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,3,0.641954,0.024766,0.613793,0.660345,-0.110276,16.0,16,16
active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,2,3,0.705747,0.021419,0.681034,0.718966,0.16792,31.666667,31,32
active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,3,0.728161,0.01727,0.708621,0.741379,0.265664,62.666667,61,64
active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,3,0.718966,0.013466,0.710345,0.734483,0.225564,123.333333,121,127
active_route_state_calibration,Qwen3-8B,1,3,0.704598,0.017441,0.684483,0.715517,0.162907,16.0,16,16
active_route_state_calibration,Qwen3-8B,2,3,0.714368,0.026337,0.691379,0.743103,0.205514,32.0,32,32
active_route_state_calibration,Qwen3-8B,4,3,0.728161,0.020205,0.705172,0.743103,0.265664,63.333333,62,64
active_route_state_calibration,Qwen3-8B,8,3,0.714943,0.027496,0.684483,0.737931,0.20802,126.0,122,128
dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,1,3,0.725862,0.01943,0.713793,0.748276,0.255639,16.0,16,16
dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,2,3,0.725287,0.012709,0.715517,0.739655,0.253133,32.0,32,32
dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,4,3,0.713218,0.026784,0.691379,0.743103,0.200501,63.333333,62,64
dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,8,3,0.726437,0.012709,0.712069,0.736207,0.258145,126.0,122,128
dataset_stratified_calibration,Intern-S1-mini,1,3,0.695977,0.03539,0.656897,0.725862,0.125313,16.0,16,16
