sensitivity_name,sensitivity_k,sensitivity_alpha,method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max,recovered_gap_vs_oracle_mean
k_16_alpha_3p0,16,3.0,active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.662069,0.004877,0.658621,0.665517,16.0,16,16,-0.070413
k_16_alpha_3p0,16,3.0,active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.743103,0.009753,0.736207,0.75,64.0,64,64,0.297711
k_16_alpha_3p0,16,3.0,active_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.727586,0.053643,0.689655,0.765517,125.0,122,128,0.225452
k_16_alpha_3p0,16,3.0,active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.64569,0.04267,0.615517,0.675862,16.0,16,16,-0.143503
k_16_alpha_3p0,16,3.0,active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.760345,0.002438,0.758621,0.762069,63.0,62,64,0.376615
k_16_alpha_3p0,16,3.0,active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.731034,0.039013,0.703448,0.758621,125.0,122,128,0.241694
k_16_alpha_3p0,16,3.0,active_route_state_calibration,Qwen3-8B,1,2,0.681897,0.001219,0.681034,0.682759,16.0,16,16,0.019564
k_16_alpha_3p0,16,3.0,active_route_state_calibration,Qwen3-8B,4,2,0.710345,0.051204,0.674138,0.746552,63.0,62,64,0.150978
k_16_alpha_3p0,16,3.0,active_route_state_calibration,Qwen3-8B,8,2,0.733621,0.008534,0.727586,0.739655,125.0,122,128,0.254614
k_16_alpha_3p0,16,3.0,dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.69569,0.067053,0.648276,0.743103,16.0,16,16,0.084902
k_16_alpha_3p0,16,3.0,dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.756897,0.004877,0.753448,0.760345,64.0,64,64,0.361019
k_16_alpha_3p0,16,3.0,dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.748276,0.017068,0.736207,0.760345,125.0,122,128,0.320967
k_16_alpha_3p0,16,3.0,dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.750862,0.010972,0.743103,0.758621,16.0,16,16,0.332964
k_16_alpha_3p0,16,3.0,dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.752586,0.003657,0.75,0.755172,63.0,62,64,0.341085
k_16_alpha_3p0,16,3.0,dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.75431,0.008534,0.748276,0.760345,125.0,122,128,0.348745
k_16_alpha_3p0,16,3.0,dataset_stratified_calibration,Qwen3-8B,1,2,0.693966,0.074368,0.641379,0.746552,16.0,16,16,0.077335
k_16_alpha_3p0,16,3.0,dataset_stratified_calibration,Qwen3-8B,4,2,0.737931,0.021945,0.722414,0.753448,63.0,62,64,0.275378
k_16_alpha_3p0,16,3.0,dataset_stratified_calibration,Qwen3-8B,8,2,0.737931,0.017068,0.725862,0.75,125.0,122,128,0.275194
k_16_alpha_3p0,16,3.0,direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,1,2,0.668103,0.013411,0.658621,0.677586,16.0,16,16,-0.042636
k_16_alpha_3p0,16,3.0,direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,4,2,0.668966,0.012191,0.660345,0.677586,64.0,64,64,-0.03876
k_16_alpha_3p0,16,3.0,direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,8,2,0.668103,0.013411,0.658621,0.677586,125.0,122,128,-0.042636
k_16_alpha_3p0,16,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,1,2,0.651724,0.01463,0.641379,0.662069,16.0,16,16,-0.11711
