query_id,before_selected_model,after_selected_model,selected_changed,before_utility,after_utility,utility_delta,predicted_gain,probe_cost
math500:test:6,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.7630989530001425
math500:test:7,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.4410496770000373
math500:test:8,MiniCPM4.1-8B,Qwen3-8B,True,1.0,1.0,0.0,0.0,0.6520757829999384
math500:test:9,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.6477886759999801
math500:test:13,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,1.4430808219999545
math500:test:16,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.9841310320001958
math500:test:24,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,1.073348101999849
math500:test:43,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.3621273380000402
math500:test:46,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.4115129180000513
math500:test:50,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.4865161060001283
math500:test:58,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.5236167939998868
math500:test:61,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.6877028300001002
math500:test:69,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.6537042830000428
math500:test:71,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.5564739820001178
math500:test:77,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,1.2883100859999086
math500:test:84,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,1.6075371200001627
math500:test:85,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.6019757740000096
math500:test:92,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.439414291999914
math500:test:95,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.8274642720000466
math500:test:99,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,1.114641583000106
math500:test:100,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,1.297296139999975
math500:test:102,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.4003820139999916
math500:test:104,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,1.581270139000024
math500:test:109,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.5724496890000373
math500:test:110,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.5324405459998561
math500:test:124,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.6477414560000616
math500:test:129,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.5100760469999077
aime:hybrid:4,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.819254709000119
aime:hybrid:16,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,1.0010240620000876
aime:hybrid:17,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,1.371641114000111
aime:hybrid:18,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,1.1029104620001235
aime:hybrid:22,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.6538482879999483
aime:hybrid:27,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,1.3040600760001253
aime:hybrid:30,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.5629791210000494
aime:hybrid:31,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,1.5379534729999196
aime:hybrid:34,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,1.258594072000049
aime:hybrid:36,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,1.3908046440001254
aime:hybrid:37,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.9279514069999604
aime:hybrid:39,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,1.5032567230000478
aime:hybrid:44,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,1.2714565919998204
aime:hybrid:53,MiniCPM4.1-8B,MiniCPM4.1-8B,False,0.0,0.0,0.0,0.0,1.6054935040001492
