query_id,before_selected_model,after_selected_model,selected_changed,before_utility,after_utility,utility_delta,predicted_gain,probe_cost
math500:test:6,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.1298013085001148
math500:test:7,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0923143085001684
math500:test:8,MiniCPM4.1-8B,Qwen3-8B,True,1.0,1.0,0.0,0.0,0.1187998715001886
math500:test:9,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.1373639365000981
math500:test:13,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.2208230189998885
math500:test:16,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.1989871205000891
math500:test:24,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.2008202759998657
math500:test:43,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0854214470000533
math500:test:46,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.1000135399997925
math500:test:50,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0996385009999012
math500:test:58,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.100439383999912
math500:test:61,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.1491829164998362
math500:test:69,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.1158234830000892
math500:test:71,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.108215745500127
math500:test:77,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.2128179745001962
math500:test:84,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.2754986439997974
math500:test:85,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.213554608500046
math500:test:92,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0849616529999457
math500:test:95,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.1605899285001269
math500:test:99,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.1975468139998156
math500:test:100,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.2667479260000018
math500:test:102,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.0905553290001626
math500:test:104,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.2500312404999422
math500:test:109,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.1136316565000252
math500:test:110,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.1077213389998633
math500:test:124,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.1310766655000316
math500:test:129,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.0995747970001157
aime:hybrid:4,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.1315640695001239
aime:hybrid:16,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.1573273855000316
aime:hybrid:17,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.2214757854999134
aime:hybrid:18,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.1911849339998061
aime:hybrid:22,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.130221026999985
aime:hybrid:27,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.1976333985001128
aime:hybrid:30,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.1014373780001842
aime:hybrid:31,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.2059581435000163
aime:hybrid:34,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.2207825175000634
aime:hybrid:36,MiniCPM4.1-8B,MiniCPM4.1-8B,False,1.0,1.0,0.0,0.0,0.2226994829997947
aime:hybrid:37,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.1591729329999289
aime:hybrid:39,Qwen3-8B,Qwen3-8B,False,1.0,1.0,0.0,0.0,0.2211356615000368
aime:hybrid:44,Qwen3-8B,Qwen3-8B,False,0.0,0.0,0.0,0.0,0.2423633520001367
aime:hybrid:53,MiniCPM4.1-8B,MiniCPM4.1-8B,False,0.0,0.0,0.0,0.0,0.2294533459998801
