group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,test,8,72,0.08609572431294855,0.07699775170363406,0.18987885954771397,0.18507624283379137,226.5,367.8150326797386
benchmark_label,diagnostic_label,test,9,81,0.15958037072578257,0.14406714382883784,0.30482117385394736,0.3137374457425951,719.0,681.6228978007762
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,test,11,99,0.16970889684430573,0.1458458290389699,0.3770761692174554,0.28786583267390725,544.0,724.7787839586028
routecode_state_k8,learned_probe_state,test,6,54,0.18092241909251217,0.15760540944829568,0.2504687701646385,0.2505560611508648,759.0,772.6694695989651
text_cluster_k8,train_fit_text_cluster,test,8,72,0.18351253504146647,0.16274943694370236,0.22779674855547555,0.2822764972510348,570.0,783.7296248382924
random_k8,random_baseline,test,8,72,0.24748191985627999,0.21674742709183104,0.4276824570762203,0.4100578623062035,1051.0,1056.8318240620956
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,train,8,72,0.07951988389793703,0.07177286671724362,0.11253287743399773,0.10982377530640187,171.0,339.7845528455285
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,train,17,145,0.14900213643801782,0.13082509256160185,0.2263945166151503,0.18122935986239083,214.0,636.4639825897715
routecode_state_k8,learned_probe_state,train,8,66,0.16268547992277668,0.1443098052611012,0.17026479112127665,0.16086070760395754,744.0,694.8576713819369
benchmark_label,diagnostic_label,train,9,81,0.16722269747871651,0.15109452230703022,0.1884001175331151,0.19119015269561088,777.0,714.226768226333
text_cluster_k8,train_fit_text_cluster,train,8,71,0.17667459012249687,0.15985559455751783,0.19307347634078442,0.1770697903109673,793.0,754.5810663764962
random_k8,random_baseline,train,8,72,0.24220260391672468,0.2125623874352407,0.2383631621856311,0.23705392089764993,1041.5,1034.3014145810664
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,val,8,72,0.09987911237248755,0.08931065681301245,0.24821217891153646,0.21759485779628304,271.5,426.828216374269
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,val,13,113,0.15050609558528985,0.13285688678625177,0.30479402916789694,0.2923115446966227,328.0,642.8614976805832
benchmark_label,diagnostic_label,val,9,81,0.16245293125674293,0.15140135617272796,0.30573522893615457,0.3168988299676864,754.0,693.90788601723
routecode_state_k8,learned_probe_state,val,7,61,0.16456526395485485,0.14633244743963303,0.2911109585699086,0.27597202068897736,646.0,702.8760768721007
text_cluster_k8,train_fit_text_cluster,val,8,70,0.17650233077340585,0.16135682180281458,0.27246742391536083,0.29437632811741005,719.0,753.8336646785951
random_k8,random_baseline,val,8,72,0.24369096512199762,0.21938262998567837,0.42993065199062586,0.41459779677786934,1064.0,1040.7355864811134
