query_id,split,benchmark,group_method,group_id,deployability
aime:hybrid:53,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:54,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:55,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:56,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:57,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:58,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:59,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:6,test,aime,predicted_utility_state_rf_probe_only_k4,p03,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:60,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:7,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:8,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
aime:hybrid:9,test,aime,predicted_utility_state_rf_probe_only_k4,p01,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:81,test,bbh,predicted_utility_state_rf_probe_only_k4,p00,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:82,test,bbh,predicted_utility_state_rf_probe_only_k4,p00,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:83,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:84,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:85,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:86,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:87,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:88,test,bbh,predicted_utility_state_rf_probe_only_k4,p00,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:89,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:9,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:90,test,bbh,predicted_utility_state_rf_probe_only_k4,p00,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:91,test,bbh,predicted_utility_state_rf_probe_only_k4,p00,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:92,test,bbh,predicted_utility_state_rf_probe_only_k4,p00,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:93,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:94,test,bbh,predicted_utility_state_rf_probe_only_k4,p00,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:95,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:96,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:97,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:98,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
bbh:test:99,test,bbh,predicted_utility_state_rf_probe_only_k4,p02,train_utility_clusters_predicted_from_observable_probe_features
