group_method,deployability,n_test_groups,best_model_identification_accuracy,traffic_weighted_best_model_identification_accuracy
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,8,0.875,0.8764705882352941
random_k8,random_baseline,8,0.625,0.6569767441860465
predicted_utility_state_rf_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,12,0.5833333333333334,0.6162790697674418
text_cluster_k8,train_fit_text_cluster,8,0.375,0.5406976744186046
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,6,0.5,0.4941860465116279
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,6,0.5,0.48255813953488375
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,6,0.5,0.47093023255813954
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,16,0.4375,0.46511627906976744
predicted_utility_state_extratrees_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,12,0.4166666666666667,0.43023255813953487
predicted_utility_state_rf_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,12,0.4166666666666667,0.43023255813953487
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,16,0.375,0.4127906976744186
predicted_utility_state_extratrees_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,12,0.4166666666666667,0.4127906976744186
benchmark_label,diagnostic_label,9,0.3333333333333333,0.3488372093023256
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,16,0.3125,0.3430232558139535
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,16,0.25,0.31976744186046513
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,6,0.3333333333333333,0.313953488372093
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,8,0.25,0.2616279069767442
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,8,0.25,0.25
predicted_utility_state_extratrees_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,4,0.25,0.19767441860465115
predicted_utility_state_extratrees_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,4,0.25,0.18604651162790697
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,8,0.125,0.18604651162790697
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,8,0.125,0.18023255813953487
predicted_utility_state_rf_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,4,0.25,0.18023255813953487
predicted_utility_state_rf_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,4,0.25,0.1686046511627907
