group_method,deployability,n_cells,weighted_abs_utility_estimation_error,weighted_abs_quality_estimation_error,median_abs_utility_estimation_error,mean_train_queries_per_cell,mean_test_queries_per_cell
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,48,0.04992075538573422,0.04501880593178276,0.03893419849442151,61.5,21.25
predicted_utility_state_rf_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,24,0.07255116015959817,0.06635009587881098,0.055487312742376824,127.0,42.916666666666664
predicted_utility_state_rf_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,24,0.07262934322470192,0.0673289278933503,0.07433175280064555,127.0,42.916666666666664
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,36,0.08135889913296013,0.07041256560118492,0.06035536018871336,84.66666666666667,28.61111111111111
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,36,0.08405807636568416,0.0723658098574038,0.06343083233795077,84.66666666666667,28.61111111111111
random_k8,random_baseline,48,0.08415175362117469,0.07810551367551874,0.07258325965222515,63.5,21.458333333333332
predicted_utility_state_extratrees_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,24,0.08609754867727125,0.08040543490994402,0.0737194917292942,127.0,42.916666666666664
predicted_utility_state_extratrees_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,24,0.08632883668949538,0.07933625084272707,0.06606782752120238,127.0,42.916666666666664
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,48,0.08875147852657478,0.07988543182679338,0.07933467741935485,63.5,21.458333333333332
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,36,0.09164123449922654,0.08165009667403593,0.07416752595647841,84.66666666666667,28.61111111111111
predicted_utility_state_rf_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,72,0.0970953874198499,0.08656971953818743,0.07799294640334697,42.333333333333336,14.305555555555555
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,36,0.0996939286950687,0.08709547125257995,0.08962725161251595,84.66666666666667,28.61111111111111
benchmark_label,diagnostic_label,54,0.10237157947348446,0.09519682739969756,0.08333333333333337,56.44444444444444,19.074074074074073
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,48,0.10303654208134352,0.09497838589066886,0.0763217787114846,63.5,21.458333333333332
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,48,0.10386807407797796,0.09427757624294315,0.09488282711598622,63.5,21.458333333333332
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,96,0.10568094197518539,0.09784757189902915,0.09090909090909094,31.75,10.729166666666666
predicted_utility_state_rf_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,72,0.10645249034716335,0.09673352084560059,0.07065840036989024,42.333333333333336,14.305555555555555
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,96,0.10914366158864212,0.10069063302444861,0.09901960784313724,31.75,10.729166666666666
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,48,0.11467461318965562,0.10340836183235692,0.07857511894344299,63.5,21.458333333333332
predicted_utility_state_extratrees_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,72,0.11631632701112565,0.10762130882644783,0.07267362870508279,42.333333333333336,14.305555555555555
predicted_utility_state_extratrees_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,72,0.12009633549027086,0.10977875049508869,0.09774166424593561,42.333333333333336,14.305555555555555
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,96,0.12213717265470637,0.11503482653486126,0.09768892511469708,31.75,10.729166666666666
text_cluster_k8,train_fit_text_cluster,47,0.12344638601586122,0.11474685923428846,0.10897435897435898,64.85106382978724,21.893617021276597
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,96,0.12429890940853959,0.11768489584557626,0.1011229617218005,31.75,10.729166666666666
