group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,test,8,48,0.06673695144288876,0.060181942240765764,0.17052093129387283,0.15546214713914736,120.0,285.22058823529414
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,96,0.13661530249738343,0.11939756791213102,0.46034913714946785,0.3573063733913032,605.0,583.6242718446601
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,48,0.14332430602627233,0.12678153181261956,0.3362344740514677,0.28799833924519214,694.0,612.2679611650485
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,96,0.14396892876751172,0.12367165290972805,0.4491559267131215,0.3601688861735117,567.0,614.9757281553398
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,96,0.14888762245126344,0.12952907897568094,0.486906499898114,0.37818700645771036,647.0,636.0116504854369
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,48,0.1501870940768775,0.13204221928360285,0.3410409713629499,0.29709289288556917,732.0,641.5038834951456
predicted_utility_state_extratrees_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,test,12,72,0.15479339728774,0.1346991153164644,0.37119505787017554,0.345802475323126,690.0,661.2106796116504
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,48,0.15501561621680904,0.13547948228413578,0.31069171808949125,0.2915369800107298,619.5,662.1339805825243
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,96,0.15542365157111038,0.13342001978135368,0.5168678922022664,0.3952026419696038,774.0,663.8320388349515
predicted_utility_state_rf_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,test,12,72,0.15644344256390372,0.13674723089708318,0.42185916337606816,0.3568426320162963,726.5,668.1941747572815
predicted_utility_state_extratrees_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,test,12,72,0.15741165032349821,0.13640225575746892,0.38684684439563344,0.35109075429008263,664.0,672.3495145631068
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,test,6,36,0.15942473492928372,0.14092879020171298,0.2842401764541465,0.2767753055384265,672.0,680.9485436893204
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,48,0.160009225629894,0.1399184674809479,0.33878922487767693,0.31000988622015146,658.0,683.4601941747572
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,test,6,36,0.16065198574792725,0.1421752825822175,0.28390367884791884,0.27403572555018496,673.0,686.2330097087379
predicted_utility_state_rf_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,test,12,72,0.16112412045224436,0.1404247478519323,0.4214228014765696,0.36091077740129596,689.5,688.2708737864077
predicted_utility_state_rf_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,test,4,24,0.16357332653201748,0.1456675733045918,0.24587749251591406,0.2313414483210779,673.5,698.704854368932
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,test,6,36,0.16378964644375596,0.14422741785062101,0.2883909953204886,0.28066490746902173,704.0,699.6067961165048
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,test,6,36,0.16426104205499162,0.14447243177840471,0.289598947158056,0.28003561320090664,721.5,701.5805825242718
benchmark_label,diagnostic_label,test,9,54,0.16664293190502066,0.15000283881224097,0.3211177954726922,0.3325692429665453,719.0,711.8223300970874
predicted_utility_state_rf_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,test,4,24,0.16847919073745604,0.15015188752336614,0.2512318266525054,0.23720056185603386,704.5,719.5718446601942
predicted_utility_state_extratrees_probe_plus_benchmark_k4,train_utility_clusters_predicted_from_observable_probe_features,test,4,24,0.17162503354757624,0.15268710692142126,0.24962507379094193,0.24070437212184023,743.5,733.1330097087379
predicted_utility_state_extratrees_probe_only_k4,train_utility_clusters_predicted_from_observable_probe_features,test,4,24,0.1748601062230442,0.15621043389360878,0.2541329569482534,0.24331554245474413,719.5,746.8145631067961
text_cluster_k8,train_fit_text_cluster,test,8,48,0.19233974593198766,0.17031911589367477,0.24532689168272548,0.3018596622669348,689.0,821.3932038834952
random_k8,random_baseline,test,8,48,0.26743742588505415,0.23519334215657337,0.44723100119506126,0.43006029865686285,1058.0,1141.9873786407768
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,train,8,48,0.06793763146807055,0.06177958581684227,0.11237998670413267,0.10020150301301649,148.0,290.37838753387535
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,train,16,96,0.09545167100694898,0.07637952519071954,0.19499655502021315,0.17264595268122393,268.0,407.87926509186354
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,train,16,96,0.0983722200297968,0.07959566830033071,0.19510946978683522,0.17403395717430678,277.0,420.35728346456693
predicted_utility_state_extratrees_probe_only_k12,train_utility_clusters_predicted_from_observable_probe_features,train,12,72,0.10267329559513416,0.08345655859218064,0.1705055037197516,0.15982280117311662,268.0,438.6751968503937
predicted_utility_state_extratrees_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,train,12,72,0.10424779881873893,0.08472113128344873,0.17078129885721088,0.16050737561131265,299.5,445.4514435695538
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,train,16,96,0.10637220404022002,0.08598829202277816,0.19465174311813258,0.17875458225344285,312.0,454.5465879265092
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,train,16,96,0.11093208968182668,0.09065673124699405,0.1978885892461347,0.1856785740293318,305.0,474.005249343832
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,48,0.11166603177003076,0.09437548804547126,0.16217052055192596,0.1499890633239692,406.5,477.20931758530185
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,train,8,48,0.11449726429973628,0.09645875061557889,0.16364178974525628,0.15141803666743608,445.5,489.18044619422574
predicted_utility_state_rf_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,train,12,72,0.11731200268102959,0.09753114340893751,0.18106042293321326,0.17578810637164893,381.0,501.18766404199476
