method,budget,mean_utility,regret_to_full_calibration,n_new_model_evals
calibration_aware_route_state,20,0.6774080439158771,0.06212148224275147,20.0
active_route_state_calibration,20,0.6357858461100145,0.03653786590388448,20.0
uniform_route_state_calibration,20,0.6355972531117521,0.03672645890214704,20.0
calibration_aware_route_state,40,0.690804332944596,0.04872519321403243,40.0
uniform_route_state_calibration,40,0.66014811556217,0.012175596451729024,40.0
active_route_state_calibration,40,0.6427394007019318,0.02958431131196728,40.0
calibration_aware_route_state,80,0.7235847354331332,0.01594479072549532,80.0
active_route_state_calibration,80,0.6699135321734643,0.0024101798404347692,80.0
uniform_route_state_calibration,80,0.6697821982025941,0.002541513811305008,80.0
calibration_aware_route_state,160,0.7335135769819273,0.006015949176701189,160.0
active_route_state_calibration,160,0.6731043430584293,-0.0007806310445302342,160.0
uniform_route_state_calibration,160,0.6728142552513632,-0.000490543237464155,160.0
calibration_aware_route_state,320,0.7394685762792933,6.094987933507128e-05,320.0
active_route_state_calibration,320,0.674125403916554,-0.0018016919026548278,320.0
uniform_route_state_calibration,320,0.6739492355811152,-0.001625523567216092,320.0
calibration_aware_route_state,640,0.7395295261586284,0.0,510.55555555555554
active_route_state_calibration,640,0.6723237120138991,0.0,510.55555555555554
uniform_route_state_calibration,640,0.6723237120138991,0.0,510.55555555555554
