group_method,deployability,n_test_groups,best_model_identification_accuracy,traffic_weighted_best_model_identification_accuracy
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,11,0.8181818181818182,0.9186046511627907
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,6,0.8333333333333334,0.8197674418604651
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,6,0.8333333333333334,0.8197674418604651
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,8,0.75,0.7411764705882353
routecode_state_k8,learned_probe_state,6,0.6666666666666666,0.6802325581395349
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,8,0.625,0.6627906976744186
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,16,0.625,0.627906976744186
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,6,0.6666666666666666,0.622093023255814
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,16,0.5625,0.6162790697674418
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,6,0.6666666666666666,0.6104651162790697
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,8,0.5,0.5523255813953488
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,8,0.5,0.5406976744186046
benchmark_label,diagnostic_label,9,0.5555555555555556,0.5348837209302325
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,8,0.5,0.5290697674418605
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,16,0.5,0.5174418604651163
predicted_utility_state_rf_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,23,0.4782608695652174,0.5174418604651163
predicted_utility_state_rf_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,23,0.391304347826087,0.47093023255813954
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,16,0.4375,0.47093023255813954
text_cluster_k8,train_fit_text_cluster,8,0.375,0.45348837209302323
random_k8,random_baseline,8,0.375,0.4186046511627907
predicted_utility_state_extratrees_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,24,0.3333333333333333,0.36627906976744184
predicted_utility_state_extratrees_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,24,0.25,0.26744186046511625
