group_method,split,k,classifier,feature_view,n_queries,n_features,oracle_cluster_accuracy,oracle_cluster_adjusted_rand
predicted_utility_state_rf_probe_only_k6,test,6,rf,probe_only,170,84,0.7647058823529411,0.5079057918325188
predicted_utility_state_rf_probe_only_k6,train,6,rf,probe_only,492,84,0.8617886178861789,0.7079927914633045
predicted_utility_state_rf_probe_only_k6,val,6,rf,probe_only,152,84,0.7697368421052632,0.5575288973451419
predicted_utility_state_extratrees_probe_only_k6,test,6,extratrees,probe_only,170,84,0.7764705882352941,0.538632573699334
predicted_utility_state_extratrees_probe_only_k6,train,6,extratrees,probe_only,492,84,0.9146341463414634,0.8081656835315891
predicted_utility_state_extratrees_probe_only_k6,val,6,extratrees,probe_only,152,84,0.7828947368421053,0.5767480889734085
predicted_utility_state_rf_probe_plus_benchmark_k6,test,6,rf,probe_plus_benchmark,170,99,0.7647058823529411,0.507572543112324
predicted_utility_state_rf_probe_plus_benchmark_k6,train,6,rf,probe_plus_benchmark,492,99,0.8475609756097561,0.6827976255441334
predicted_utility_state_rf_probe_plus_benchmark_k6,val,6,rf,probe_plus_benchmark,152,99,0.7763157894736842,0.5657716385354237
predicted_utility_state_extratrees_probe_plus_benchmark_k6,test,6,extratrees,probe_plus_benchmark,170,99,0.7294117647058823,0.4549884297520661
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train,6,extratrees,probe_plus_benchmark,492,99,0.9247967479674797,0.8268563486263365
predicted_utility_state_extratrees_probe_plus_benchmark_k6,val,6,extratrees,probe_plus_benchmark,152,99,0.7763157894736842,0.5587608343114281
predicted_utility_state_rf_probe_only_k8,test,8,rf,probe_only,170,84,0.7764705882352941,0.5401103646018388
predicted_utility_state_rf_probe_only_k8,train,8,rf,probe_only,492,84,0.8536585365853658,0.6962692451990231
predicted_utility_state_rf_probe_only_k8,val,8,rf,probe_only,152,84,0.743421052631579,0.5529748402403989
predicted_utility_state_extratrees_probe_only_k8,test,8,extratrees,probe_only,170,84,0.7588235294117647,0.5115901351184652
predicted_utility_state_extratrees_probe_only_k8,train,8,extratrees,probe_only,492,84,0.9126016260162602,0.8042724270556448
predicted_utility_state_extratrees_probe_only_k8,val,8,extratrees,probe_only,152,84,0.743421052631579,0.5452426595623564
predicted_utility_state_rf_probe_plus_benchmark_k8,test,8,rf,probe_plus_benchmark,170,99,0.7823529411764706,0.5528966186313384
predicted_utility_state_rf_probe_plus_benchmark_k8,train,8,rf,probe_plus_benchmark,492,99,0.8495934959349594,0.6881798900275378
predicted_utility_state_rf_probe_plus_benchmark_k8,val,8,rf,probe_plus_benchmark,152,99,0.7368421052631579,0.5532434168439984
predicted_utility_state_extratrees_probe_plus_benchmark_k8,test,8,extratrees,probe_plus_benchmark,170,99,0.7411764705882353,0.4898981813435764
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train,8,extratrees,probe_plus_benchmark,492,99,0.9207317073170732,0.8210853909464927
predicted_utility_state_extratrees_probe_plus_benchmark_k8,val,8,extratrees,probe_plus_benchmark,152,99,0.756578947368421,0.5503560883293682
predicted_utility_state_rf_probe_only_k16,test,16,rf,probe_only,170,84,0.5882352941176471,0.33353550891167655
predicted_utility_state_rf_probe_only_k16,train,16,rf,probe_only,492,84,0.8272357723577236,0.6454129039815664
predicted_utility_state_rf_probe_only_k16,val,16,rf,probe_only,152,84,0.631578947368421,0.42757362408188704
predicted_utility_state_extratrees_probe_only_k16,test,16,extratrees,probe_only,170,84,0.611764705882353,0.3837244189452488
predicted_utility_state_extratrees_probe_only_k16,train,16,extratrees,probe_only,492,84,0.8699186991869918,0.7209856336222082
predicted_utility_state_extratrees_probe_only_k16,val,16,extratrees,probe_only,152,84,0.618421052631579,0.40559551750120126
predicted_utility_state_rf_probe_plus_benchmark_k16,test,16,rf,probe_plus_benchmark,170,99,0.5941176470588235,0.3434287522009055
predicted_utility_state_rf_probe_plus_benchmark_k16,train,16,rf,probe_plus_benchmark,492,99,0.8252032520325203,0.6433379507499632
predicted_utility_state_rf_probe_plus_benchmark_k16,val,16,rf,probe_plus_benchmark,152,99,0.6052631578947368,0.41789419676790757
predicted_utility_state_extratrees_probe_plus_benchmark_k16,test,16,extratrees,probe_plus_benchmark,170,99,0.5764705882352941,0.3424355345206705
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train,16,extratrees,probe_plus_benchmark,492,99,0.8617886178861789,0.710236868483328
predicted_utility_state_extratrees_probe_plus_benchmark_k16,val,16,extratrees,probe_plus_benchmark,152,99,0.6118421052631579,0.4055585589143563
predicted_utility_state_rf_probe_only_k24,test,24,rf,probe_only,170,84,0.5,0.32623549435662275
predicted_utility_state_rf_probe_only_k24,train,24,rf,probe_only,492,84,0.7723577235772358,0.555296612551184
predicted_utility_state_rf_probe_only_k24,val,24,rf,probe_only,152,84,0.5197368421052632,0.35425460701383626
predicted_utility_state_extratrees_probe_only_k24,test,24,extratrees,probe_only,170,84,0.5058823529411764,0.323971333583983
predicted_utility_state_extratrees_probe_only_k24,train,24,extratrees,probe_only,492,84,0.8699186991869918,0.7117128567112426
predicted_utility_state_extratrees_probe_only_k24,val,24,extratrees,probe_only,152,84,0.5197368421052632,0.33976861205587855
predicted_utility_state_rf_probe_plus_benchmark_k24,test,24,rf,probe_plus_benchmark,170,99,0.5117647058823529,0.3266964591840233
predicted_utility_state_rf_probe_plus_benchmark_k24,train,24,rf,probe_plus_benchmark,492,99,0.774390243902439,0.556666431332301
predicted_utility_state_rf_probe_plus_benchmark_k24,val,24,rf,probe_plus_benchmark,152,99,0.5328947368421053,0.3516214021290152
predicted_utility_state_extratrees_probe_plus_benchmark_k24,test,24,extratrees,probe_plus_benchmark,170,99,0.5176470588235295,0.33951526550894245
predicted_utility_state_extratrees_probe_plus_benchmark_k24,train,24,extratrees,probe_plus_benchmark,492,99,0.8597560975609756,0.7017327120420545
predicted_utility_state_extratrees_probe_plus_benchmark_k24,val,24,extratrees,probe_plus_benchmark,152,99,0.5131578947368421,0.35778835980170476
