group_method,deployability,n_cells,weighted_abs_utility_estimation_error,weighted_abs_quality_estimation_error,median_abs_utility_estimation_error,mean_train_queries_per_cell,mean_test_queries_per_cell
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,72,0.046647709609028476,0.041280346568596735,0.02328189169858441,61.5,21.25
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,54,0.06037630445363408,0.056239303968218746,0.04038200477150233,85.0925925925926,28.62962962962963
predicted_utility_state_rf_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,54,0.06354562575556429,0.059514315649436864,0.04379563889373697,85.0925925925926,28.62962962962963
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,72,0.06550322781652247,0.059859264950391226,0.03701200077505745,63.81944444444444,21.47222222222222
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,72,0.07023663157688435,0.06365826351761017,0.04395578350492442,63.81944444444444,21.47222222222222
routecode_state_k8,learned_probe_state,54,0.07094286139569839,0.06440790660638979,0.052307692307692305,82.14814814814815,28.62962962962963
predicted_utility_state_extratrees_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,54,0.07410348166182278,0.06724719961515549,0.04292017027633287,85.0925925925926,28.62962962962963
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train_utility_clusters_predicted_from_observable_probe_features,54,0.07635241391283976,0.07067148779390177,0.04580849139589721,85.0925925925926,28.62962962962963
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,99,0.08080469591042022,0.07278487146627742,0.05731922398589065,44.44444444444444,15.616161616161616
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,72,0.08231388271359266,0.07523271058514774,0.047725790088965325,63.81944444444444,21.47222222222222
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,72,0.08896276206237728,0.0788176501178519,0.06993314332698494,63.81944444444444,21.47222222222222
random_k8,random_baseline,72,0.08988470968233561,0.08201447679797942,0.07204949777053385,63.81944444444444,21.47222222222222
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,144,0.09729623086832442,0.0879905548666698,0.051124744020506846,31.90972222222222,10.73611111111111
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,144,0.0978114032640228,0.08875199592815722,0.05714285714285705,31.90972222222222,10.73611111111111
benchmark_label,diagnostic_label,81,0.09932655167595013,0.09162458103375531,0.08163606822061398,56.72839506172839,19.08641975308642
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,144,0.10939811413407555,0.10069168644530797,0.06408716478222032,31.90972222222222,10.73611111111111
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,144,0.11122289979255306,0.10042027719809671,0.07382404181184668,31.90972222222222,10.73611111111111
text_cluster_k8,train_fit_text_cluster,71,0.11439117217861101,0.1050412177056243,0.09824561403508769,64.71830985915493,21.760563380281692
predicted_utility_state_rf_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,207,0.11520965599316633,0.106558266214785,0.07740094404778797,21.93719806763285,7.468599033816425
predicted_utility_state_rf_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,207,0.11757518943979836,0.10800209829726165,0.0625,21.893719806763286,7.468599033816425
predicted_utility_state_extratrees_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,216,0.1350257525093998,0.12510172496837862,0.07965953554271898,21.27314814814815,7.157407407407407
predicted_utility_state_extratrees_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,216,0.13612163800941168,0.1276113180434771,0.08333333333333337,21.27314814814815,7.157407407407407
