group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,test,8,72,0.08609572431294855,0.07699775170363406,0.18987885954771397,0.18507624283379137,226.5,367.8150326797386
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,72,0.121318384347918,0.10910410613244224,0.25008201728251805,0.24772466364968834,419.5,518.29042690815
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,72,0.12406810983399046,0.11146930476316305,0.25222750078631745,0.2505368037596478,426.5,529.990297542044
predicted_utility_state_extratrees_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,test,24,216,0.12552072373293344,0.10750323415265202,0.3956294216191402,0.3738044240774825,419.0,536.0989650711514
predicted_utility_state_rf_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,test,23,207,0.12665648776849586,0.10950192182404343,0.3732919877315997,0.36717016207420194,389.0,540.9598965071151
predicted_utility_state_rf_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,test,23,207,0.13080052518989282,0.112986266285102,0.3611729754411583,0.36977578748856166,358.0,558.6287192755498
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,144,0.13105920382488284,0.11477559797502603,0.3626039983569778,0.3307331317961517,479.0,559.7943078913324
predicted_utility_state_extratrees_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,test,24,216,0.1313552884273702,0.11232930861003308,0.3887393216777933,0.38165963513187534,363.5,560.9890038809832
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,144,0.13180756461877446,0.11592718992800698,0.35120940608827894,0.33726924993058455,475.0,562.9734799482536
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,72,0.1326922118748718,0.11811549005113041,0.25415521870013297,0.25415583055479213,581.0,566.8402328589909
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,144,0.13326728345829006,0.11655195099567676,0.3584451192949834,0.34057695822344997,498.0,569.232212160414
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,144,0.13344229933985022,0.1167285633136786,0.3705673908506889,0.3372623700502806,534.0,569.9695989650711
