model_id,served_model_name,backend,base_url,status,latency_s,error_type,start_command,stop_command
qwen3-0.6b-probe,Qwen/Qwen3-0.6B,vllm,http://localhost:8001/v1,ready,0.01397854500100948,,scripts/start_vllm_qwen3_0_6b.sh,scripts/stop_vllm_port.sh 8001
qwen3-4b-local,Qwen/Qwen3-4B,vllm,http://localhost:8002/v1,unavailable,2.002325565998035,URLError,scripts/start_vllm_qwen3_4b.sh,scripts/stop_vllm_port.sh 8002
qwen3-8b-local,Qwen/Qwen3-8B,vllm,http://localhost:8003/v1,unavailable,2.0027964420005446,URLError,scripts/start_vllm_qwen3_8b.sh,scripts/stop_vllm_port.sh 8003
qwen3-14b-awq-local,Qwen/Qwen3-14B-AWQ,vllm,http://localhost:8006/v1,unavailable,2.0025125480024144,URLError,scripts/start_vllm_qwen3_14b_awq.sh,scripts/stop_vllm_port.sh 8006
qwen3-32b-awq-local,Qwen/Qwen3-32B-AWQ,vllm,http://localhost:8007/v1,unavailable,2.0025631500029704,URLError,scripts/start_vllm_qwen3_32b_awq.sh,scripts/stop_vllm_port.sh 8007
qwen3-32b-awq-thinking-local,Qwen/Qwen3-32B-AWQ,vllm,http://localhost:8007/v1,unavailable,2.002430218999507,URLError,scripts/start_vllm_qwen3_32b_awq.sh,scripts/stop_vllm_port.sh 8007
qwen3.5-9b-local,Qwen/Qwen3.5-9B,vllm,http://localhost:8002/v1,unavailable,2.0024331620006706,URLError,scripts/start_vllm_qwen3_9b.sh,scripts/stop_vllm_port.sh 8002
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,vllm,http://localhost:8003/v1,unavailable,2.002450617001159,URLError,scripts/start_vllm_qwen3_coder_30b_a3b.sh,scripts/stop_vllm_port.sh 8003
qwen3.6-35b-a3b,Qwen/Qwen3.6-35B-A3B,vllm,http://localhost:8004/v1,unavailable,2.0024084730030154,URLError,scripts/start_vllm_qwen3_6_35b_a3b.sh,scripts/stop_vllm_port.sh 8004
gemma-3-12b-it,google/gemma-3-12b-it,vllm,http://localhost:8005/v1,unavailable,2.0023872180026956,URLError,scripts/start_vllm_gemma_3_12b_it.sh,scripts/stop_vllm_port.sh 8005
