group_id,selected_model,mean_utility,mean_quality,lambda_cost,frontier_price_multiplier,selected_is_frontier
z00,gemini-3.5-flash-strong-solve,0.7407407407407407,0.7407407407407407,0.0,0.5,True
z01,gpt-5.5,0.9733333333333334,0.9733333333333334,0.0,0.5,True
z02,gpt-5.5,0.8846153846153846,0.8846153846153846,0.0,0.5,True
z03,gemini-3.5-flash-strong-solve,0.8141592920353983,0.8141592920353983,0.0,0.5,True
z04,deterministic_math_tool,0.0,0.0,0.0,0.5,False
z05,deterministic_math_tool,1.0,1.0,0.0,0.5,False
z06,qwen3-32b-awq-local,1.0,1.0,0.0,0.5,False
z07,gemini-3.5-flash-strong-solve,0.8113207547169812,0.8113207547169812,0.0,0.5,True
z00,gemini-3.5-flash-strong-solve,0.7407407407407407,0.7407407407407407,0.0,1.0,True
z01,gpt-5.5,0.9733333333333334,0.9733333333333334,0.0,1.0,True
z02,gpt-5.5,0.8846153846153846,0.8846153846153846,0.0,1.0,True
z03,gemini-3.5-flash-strong-solve,0.8141592920353983,0.8141592920353983,0.0,1.0,True
z04,deterministic_math_tool,0.0,0.0,0.0,1.0,False
z05,deterministic_math_tool,1.0,1.0,0.0,1.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.0,1.0,False
z07,gemini-3.5-flash-strong-solve,0.8113207547169812,0.8113207547169812,0.0,1.0,True
z00,gemini-3.5-flash-strong-solve,0.7407407407407407,0.7407407407407407,0.0,2.0,True
z01,gpt-5.5,0.9733333333333334,0.9733333333333334,0.0,2.0,True
z02,gpt-5.5,0.8846153846153846,0.8846153846153846,0.0,2.0,True
z03,gemini-3.5-flash-strong-solve,0.8141592920353983,0.8141592920353983,0.0,2.0,True
z04,deterministic_math_tool,0.0,0.0,0.0,2.0,False
z05,deterministic_math_tool,1.0,1.0,0.0,2.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.0,2.0,False
z07,gemini-3.5-flash-strong-solve,0.8113207547169812,0.8113207547169812,0.0,2.0,True
z00,gemini-3.5-flash-strong-solve,0.7407407407407407,0.7407407407407407,0.0,5.0,True
z01,gpt-5.5,0.9733333333333334,0.9733333333333334,0.0,5.0,True
z02,gpt-5.5,0.8846153846153846,0.8846153846153846,0.0,5.0,True
z03,gemini-3.5-flash-strong-solve,0.8141592920353983,0.8141592920353983,0.0,5.0,True
z04,deterministic_math_tool,0.0,0.0,0.0,5.0,False
z05,deterministic_math_tool,1.0,1.0,0.0,5.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.0,5.0,False
z07,gemini-3.5-flash-strong-solve,0.8113207547169812,0.8113207547169812,0.0,5.0,True
z00,gemini-3.5-flash-strong-solve,0.713980123013672,0.7407407407407407,0.1,0.5,True
z01,gpt-5.5,0.9513331097437749,0.9733333333333334,0.1,0.5,True
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.1,0.5,False
z03,gemini-3.5-flash-strong-solve,0.7809739200721362,0.8141592920353983,0.1,0.5,True
z04,deterministic_math_tool,0.0,0.0,0.1,0.5,False
z05,deterministic_math_tool,1.0,1.0,0.1,0.5,False
z06,qwen3-32b-awq-local,1.0,1.0,0.1,0.5,False
z07,gemini-3.5-flash-strong-solve,0.7881357045225045,0.8113207547169812,0.1,0.5,True
z00,gemini-3.5-flash-strong-solve,0.6872195052866032,0.7407407407407407,0.1,1.0,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.1,1.0,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.1,1.0,False
z03,gemini-3.5-flash-strong-solve,0.7477885481088742,0.8141592920353983,0.1,1.0,True
z04,deterministic_math_tool,0.0,0.0,0.1,1.0,False
z05,deterministic_math_tool,1.0,1.0,0.1,1.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.1,1.0,False
z07,gemini-3.5-flash-strong-solve,0.7649506543280279,0.8113207547169812,0.1,1.0,True
z00,gemini-3.5-flash-strong-solve,0.6336982698324657,0.7407407407407407,0.1,2.0,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.1,2.0,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.1,2.0,False
z03,gemini-3.5-flash-strong-solve,0.6814178041823501,0.8141592920353983,0.1,2.0,True
z04,deterministic_math_tool,0.0,0.0,0.1,2.0,False
z05,deterministic_math_tool,1.0,1.0,0.1,2.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.1,2.0,False
z07,gemini-3.5-flash-strong-solve,0.7185805539390745,0.8113207547169812,0.1,2.0,True
z00,gemini-3.5-flash,0.5361053690875969,0.5555555555555556,0.1,5.0,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.1,5.0,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.1,5.0,False
z03,gemini-3.5-flash-strong-solve,0.482305572402778,0.8141592920353983,0.1,5.0,True
z04,deterministic_math_tool,0.0,0.0,0.1,5.0,False
z05,deterministic_math_tool,1.0,1.0,0.1,5.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.1,5.0,False
z07,gemini-3.5-flash,0.642449873062626,0.660377358490566,0.1,5.0,True
z00,gemini-3.5-flash-strong-solve,0.647078578696,0.7407407407407407,0.35,0.5,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.35,0.5,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.35,0.5,False
z03,gemini-3.5-flash-strong-solve,0.6980104901639812,0.8141592920353983,0.35,0.5,True
z04,deterministic_math_tool,0.0,0.0,0.35,0.5,False
z05,deterministic_math_tool,1.0,1.0,0.35,0.5,False
z06,qwen3-32b-awq-local,1.0,1.0,0.35,0.5,False
z07,gemini-3.5-flash-strong-solve,0.7301730790363129,0.8113207547169812,0.35,0.5,True
z00,gemini-3.5-flash-strong-solve,0.5534164166512594,0.7407407407407407,0.35,1.0,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.35,1.0,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.35,1.0,False
z03,gemini-3.5-flash-strong-solve,0.5818616882925641,0.8141592920353983,0.35,1.0,True
z04,deterministic_math_tool,0.0,0.0,0.35,1.0,False
z05,deterministic_math_tool,1.0,1.0,0.35,1.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.35,1.0,False
z07,gemini-3.5-flash-strong-solve,0.6490254033556446,0.8113207547169812,0.35,1.0,True
z00,gemini-3.5-flash,0.5283252945004135,0.5555555555555556,0.35,2.0,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.35,2.0,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.35,2.0,False
z03,qwen3-14b-awq-local,0.4247787610619469,0.4247787610619469,0.35,2.0,False
z04,deterministic_math_tool,0.0,0.0,0.35,2.0,False
z05,deterministic_math_tool,1.0,1.0,0.35,2.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.35,2.0,False
z07,gemini-3.5-flash,0.6352788788914501,0.660377358490566,0.35,2.0,True
z00,gemini-3.5-flash,0.48747990291770044,0.5555555555555556,0.35,5.0,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.35,5.0,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.35,5.0,False
z03,qwen3-14b-awq-local,0.4247787610619469,0.4247787610619469,0.35,5.0,False
z04,deterministic_math_tool,0.0,0.0,0.35,5.0,False
z05,deterministic_math_tool,1.0,1.0,0.35,5.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.35,5.0,False
z07,gemini-3.5-flash,0.5976311594927762,0.660377358490566,0.35,5.0,True
z00,gemini-3.5-flash-strong-solve,0.5534164166512594,0.7407407407407407,0.7,0.5,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.7,0.5,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.7,0.5,False
z03,gemini-3.5-flash-strong-solve,0.5818616882925641,0.8141592920353983,0.7,0.5,True
z04,deterministic_math_tool,0.0,0.0,0.7,0.5,False
z05,deterministic_math_tool,1.0,1.0,0.7,0.5,False
z06,qwen3-32b-awq-local,1.0,1.0,0.7,0.5,False
z07,gemini-3.5-flash-strong-solve,0.6490254033556446,0.8113207547169812,0.7,0.5,True
z00,gemini-3.5-flash,0.5283252945004135,0.5555555555555556,0.7,1.0,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.7,1.0,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.7,1.0,False
z03,qwen3-14b-awq-local,0.4247787610619469,0.4247787610619469,0.7,1.0,False
z04,deterministic_math_tool,0.0,0.0,0.7,1.0,False
z05,deterministic_math_tool,1.0,1.0,0.7,1.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.7,1.0,False
z07,gemini-3.5-flash,0.6352788788914501,0.660377358490566,0.7,1.0,True
z00,gemini-3.5-flash,0.5010950334452714,0.5555555555555556,0.7,2.0,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.7,2.0,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.7,2.0,False
z03,qwen3-14b-awq-local,0.4247787610619469,0.4247787610619469,0.7,2.0,False
z04,deterministic_math_tool,0.0,0.0,0.7,2.0,False
z05,deterministic_math_tool,1.0,1.0,0.7,2.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.7,2.0,False
z07,gemini-3.5-flash,0.6101803992923341,0.660377358490566,0.7,2.0,True
z00,gemini-3.5-flash,0.4194042502798453,0.5555555555555556,0.7,5.0,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,0.7,5.0,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,0.7,5.0,False
z03,qwen3-14b-awq-local,0.4247787610619469,0.4247787610619469,0.7,5.0,False
z04,deterministic_math_tool,0.0,0.0,0.7,5.0,False
z05,deterministic_math_tool,1.0,1.0,0.7,5.0,False
z06,qwen3-32b-awq-local,1.0,1.0,0.7,5.0,False
z07,gemini-3.5-flash,0.5348849604949864,0.660377358490566,0.7,5.0,True
z00,gemini-3.5-flash,0.5361053690875969,0.5555555555555556,1.0,0.5,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,1.0,0.5,False
z02,qwen3-32b-awq-local,0.8557692307692307,0.8557692307692307,1.0,0.5,False
z03,gemini-3.5-flash-strong-solve,0.48230557240277805,0.8141592920353983,1.0,0.5,True
z04,deterministic_math_tool,0.0,0.0,1.0,0.5,False
z05,deterministic_math_tool,1.0,1.0,1.0,0.5,False
z06,qwen3-32b-awq-local,1.0,1.0,1.0,0.5,False
z07,gemini-3.5-flash,0.642449873062626,0.660377358490566,1.0,0.5,True
z00,gemini-3.5-flash,0.5166551826196384,0.5555555555555556,1.0,1.0,True
z01,qwen3-14b-awq-local,0.9466666666666667,0.9466666666666667,1.0,1.0,False
