group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,test,8,48,0.0667369514428887,0.0601819422407657,0.1705209312938728,0.1554621471391473,120.0,285.22058823529414
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,96,0.1366153024973834,0.119397567912131,0.4603491371494678,0.3573063733913032,605.0,583.6242718446601
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,48,0.1433243060262723,0.1267815318126195,0.3362344740514677,0.2879983392451921,694.0,612.2679611650485
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,96,0.1439689287675117,0.123671652909728,0.4491559267131215,0.3601688861735117,567.0,614.9757281553398
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,96,0.1488876224512634,0.1295290789756809,0.486906499898114,0.3781870064577103,647.0,636.0116504854369
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,48,0.1501870940768775,0.1320422192836028,0.3410409713629499,0.2970928928855691,732.0,641.5038834951456
predicted_utility_state_extratrees_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,test,12,72,0.15479339728774,0.1346991153164644,0.3711950578701755,0.345802475323126,690.0,661.2106796116504
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,48,0.155015616216809,0.1354794822841357,0.3106917180894912,0.2915369800107298,619.5,662.1339805825243
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,96,0.1554236515711103,0.1334200197813536,0.5168678922022664,0.3952026419696038,774.0,663.8320388349515
predicted_utility_state_rf_probe_plus_benchmark_k12,train_utility_clusters_predicted_from_observable_probe_features,test,12,72,0.1564434425639037,0.1367472308970831,0.4218591633760681,0.3568426320162963,726.5,668.1941747572815
