group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,test,8,72,0.0860957243129485,0.076997751703634,0.1898788595477139,0.1850762428337913,226.5,367.8150326797386
predicted_utility_state_rf_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,72,0.121318384347918,0.1091041061324422,0.250082017282518,0.2477246636496883,419.5,518.29042690815
predicted_utility_state_rf_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,72,0.1240681098339904,0.111469304763163,0.2522275007863174,0.2505368037596478,426.5,529.990297542044
predicted_utility_state_extratrees_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,test,24,216,0.1255207237329334,0.107503234152652,0.3956294216191402,0.3738044240774825,419.0,536.0989650711514
predicted_utility_state_rf_probe_plus_benchmark_k24,train_utility_clusters_predicted_from_observable_probe_features,test,23,207,0.1266564877684958,0.1095019218240434,0.3732919877315997,0.3671701620742019,389.0,540.9598965071151
predicted_utility_state_rf_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,test,23,207,0.1308005251898928,0.112986266285102,0.3611729754411583,0.3697757874885616,358.0,558.6287192755498
predicted_utility_state_rf_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,144,0.1310592038248828,0.114775597975026,0.3626039983569778,0.3307331317961517,479.0,559.7943078913324
predicted_utility_state_extratrees_probe_only_k24,train_utility_clusters_predicted_from_observable_probe_features,test,24,216,0.1313552884273702,0.112329308610033,0.3887393216777933,0.3816596351318753,363.5,560.9890038809832
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,144,0.1318075646187744,0.1159271899280069,0.3512094060882789,0.3372692499305845,475.0,562.9734799482536
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,72,0.1326922118748718,0.1181154900511304,0.2541552187001329,0.2541558305547921,581.0,566.8402328589909
predicted_utility_state_extratrees_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,144,0.13326728345829,0.1165519509956767,0.3584451192949834,0.3405769582234499,498.0,569.232212160414
predicted_utility_state_rf_probe_only_k16,train_utility_clusters_predicted_from_observable_probe_features,test,16,144,0.1334422993398502,0.1167285633136786,0.3705673908506889,0.3372623700502806,534.0,569.9695989650711
predicted_utility_state_extratrees_probe_only_k8,train_utility_clusters_predicted_from_observable_probe_features,test,8,72,0.1376156083970319,0.1222271796692995,0.2689954463099309,0.2670550612840475,558.0,587.8350582147477
predicted_utility_state_rf_probe_only_k6,train_utility_clusters_predicted_from_observable_probe_features,test,6,54,0.1397634895812199,0.1256755081743084,0.2380954909907368,0.238805443213403,501.0,596.9553686934023
