method,view,min_leaf,n_states,split,n_queries,state_accuracy,adjusted_rand,mean_confidence,mean_utility,oracle_utility,oracle_utility_ratio,oracle_regret,frontier_call_rate,local_call_rate,state_entropy_bits,error_rate
tree_exact_state_assignment,probe_only,5,8,test,170,1.0,1.0,1.0,0.6093271920818945,0.7316353287183842,0.8328290996407478,0.12230813663648966,0.40588235294117647,0.5941176470588235,2.6902373651873015,0.0
tree_exact_state_assignment,probe_only,10,8,test,170,1.0,1.0,1.0,0.6093271920818945,0.7316353287183842,0.8328290996407478,0.12230813663648966,0.40588235294117647,0.5941176470588235,2.6902373651873015,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,5,8,test,170,1.0,1.0,1.0,0.6093271920818945,0.7316353287183842,0.8328290996407478,0.12230813663648966,0.40588235294117647,0.5941176470588235,2.6902373651873015,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,10,8,test,170,1.0,1.0,1.0,0.6093271920818945,0.7316353287183842,0.8328290996407478,0.12230813663648966,0.40588235294117647,0.5941176470588235,2.6902373651873015,0.0
tree_exact_state_assignment,probe_only,40,8,test,170,1.0,1.0,1.0,0.5827645149522989,0.7316353287183842,0.7965232023078158,0.14887081376608535,0.2529411764705882,0.7470588235294118,2.9768649266043985,0.0
student::tree_classifier,probe_only,40,8,test,170,1.0,1.0,1.0,0.5827645149522989,0.7316353287183842,0.7965232023078158,0.14887081376608535,0.2529411764705882,0.7470588235294118,2.9768649266043985,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,40,8,test,170,1.0,1.0,1.0,0.5827645149522989,0.7316353287183842,0.7965232023078158,0.14887081376608535,0.2529411764705882,0.7470588235294118,2.9768649266043985,0.0
student::tree_classifier,semantic_pca8_plus_probe,40,8,test,170,1.0,1.0,1.0,0.5827645149522989,0.7316353287183842,0.7965232023078158,0.14887081376608535,0.2529411764705882,0.7470588235294118,2.9768649266043985,0.0
tree_exact_state_assignment,probe_only,20,8,test,170,1.0,1.0,1.0,0.5788165267461421,0.7316353287183842,0.7911270875342544,0.15281880197224204,0.14705882352941177,0.8529411764705882,2.899973520620784,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,20,8,test,170,1.0,1.0,1.0,0.5788165267461421,0.7316353287183842,0.7911270875342544,0.15281880197224204,0.14705882352941177,0.8529411764705882,2.899973520620784,0.0
tree_exact_state_assignment,probe_only,30,8,test,170,1.0,1.0,1.0,0.5729341738049657,0.7316353287183842,0.7830870808392788,0.1587011549134185,0.14705882352941177,0.8529411764705882,2.8929615498851167,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,30,8,test,170,1.0,1.0,1.0,0.5729341738049657,0.7316353287183842,0.7830870808392788,0.1587011549134185,0.14705882352941177,0.8529411764705882,2.8929615498851167,0.0
student::histgb,probe_only,20,8,test,170,0.9941176470588236,0.987963137380299,0.9986994714679864,0.5729954122723351,0.7316353287183842,0.7831707816461776,0.15863991644604902,0.1411764705882353,0.8588235294117647,2.9028295382816927,0.0058823529411764705
student::histgb,semantic_pca8_plus_probe,20,8,test,170,0.9941176470588236,0.987963137380299,0.9992079781259355,0.5729954122723351,0.7316353287183842,0.7831707816461776,0.15863991644604902,0.1411764705882353,0.8588235294117647,2.9028295382816927,0.0058823529411764705
student::histgb,probe_only,30,8,test,170,0.9941176470588236,0.9891834805319235,0.9975726462363249,0.5671130593311586,0.7316353287183842,0.7751307749512021,0.1645222693872255,0.1411764705882353,0.8588235294117647,2.898020680203282,0.0058823529411764705
student::histgb,semantic_pca8_plus_probe,30,8,test,170,0.9941176470588236,0.9891834805319235,0.9978700418329337,0.5671130593311586,0.7316353287183842,0.7751307749512021,0.1645222693872255,0.1411764705882353,0.8588235294117647,2.898020680203282,0.0058823529411764705
student::histgb,probe_only,5,8,test,170,0.9882352941176471,0.9833361554894229,0.9997825843389063,0.6035060776080874,0.7316353287183842,0.824872793752671,0.1281292511102967,0.4,0.6,2.7096633488631654,0.011764705882352941
student::histgb,probe_only,10,8,test,170,0.9882352941176471,0.9833361554894229,0.9997825843389063,0.6035060776080874,0.7316353287183842,0.824872793752671,0.1281292511102967,0.4,0.6,2.7096633488631654,0.011764705882352941
student::histgb,semantic_pca8_plus_probe,5,8,test,170,0.9882352941176471,0.9833361554894229,0.9997437556912209,0.6035060776080874,0.7316353287183842,0.824872793752671,0.1281292511102967,0.4,0.6,2.7096633488631654,0.011764705882352941
student::histgb,semantic_pca8_plus_probe,10,8,test,170,0.9882352941176471,0.9833361554894229,0.9997437556912209,0.6035060776080874,0.7316353287183842,0.824872793752671,0.1281292511102967,0.4,0.6,2.7096633488631654,0.011764705882352941
student::histgb,probe_only,40,8,test,170,0.9882352941176471,0.9708438947354452,0.9998940319401752,0.5769434004784918,0.7316353287183842,0.788566896419739,0.1546919282398924,0.24705882352941178,0.7529411764705882,2.974168294497252,0.011764705882352941
student::histgb,semantic_pca8_plus_probe,40,8,test,170,0.9882352941176471,0.9708438947354452,0.9998901048010844,0.5769434004784918,0.7316353287183842,0.788566896419739,0.1546919282398924,0.24705882352941178,0.7529411764705882,2.974168294497252,0.011764705882352941
student::tree_classifier,probe_only,5,8,test,170,0.9823529411764705,0.9865115893288345,0.9846597462514418,0.6093271920818945,0.7316353287183842,0.8328290996407478,0.12230813663648966,0.40588235294117647,0.5941176470588235,2.64846688118147,0.01764705882352941
student::tree_classifier,semantic_pca8_plus_probe,5,8,test,170,0.9823529411764705,0.9865115893288345,0.9846597462514418,0.6093271920818945,0.7316353287183842,0.8328290996407478,0.12230813663648966,0.40588235294117647,0.5941176470588235,2.64846688118147,0.01764705882352941
student::tree_classifier,probe_only,10,8,test,170,0.9705882352941176,0.9758756441094912,0.972016806722689,0.5916801332583651,0.7316353287183842,0.808709079555821,0.13995519546001908,0.40588235294117647,0.5941176470588235,2.6913602476774092,0.029411764705882353
student::tree_classifier,semantic_pca8_plus_probe,10,8,test,170,0.9705882352941176,0.9758756441094912,0.972016806722689,0.5916801332583651,0.7316353287183842,0.808709079555821,0.13995519546001908,0.40588235294117647,0.5941176470588235,2.6913602476774092,0.029411764705882353
student::tree_classifier,probe_only,30,8,test,170,0.9705882352941176,0.9483720122276288,0.97090112640801,0.5729341738049657,0.7316353287183842,0.7830870808392788,0.1587011549134185,0.14705882352941177,0.8529411764705882,2.8577581677376425,0.029411764705882353
student::tree_classifier,semantic_pca8_plus_probe,30,8,test,170,0.9705882352941176,0.9483720122276288,0.97090112640801,0.5729341738049657,0.7316353287183842,0.7830870808392788,0.1587011549134185,0.14705882352941177,0.8529411764705882,2.8577581677376425,0.029411764705882353
student::random_forest,semantic_pca8_plus_probe,5,8,test,170,0.9588235294117647,0.9259053601604701,0.8216600547155524,0.6037989944729875,0.7316353287183842,0.8252731528569985,0.12783633424539664,0.4,0.6,2.6238218550123404,0.041176470588235294
student::random_forest,semantic_pca8_plus_probe,10,8,test,170,0.9588235294117647,0.9259053601604701,0.8216600547155524,0.6037989944729875,0.7316353287183842,0.8252731528569985,0.12783633424539664,0.4,0.6,2.6238218550123404,0.041176470588235294
student::random_forest,probe_only,5,8,test,170,0.9529411764705882,0.9102219429627477,0.8304888634730319,0.6037989944729875,0.7316353287183842,0.8252731528569985,0.12783633424539664,0.4,0.6,2.6172748178443417,0.047058823529411764
student::random_forest,probe_only,10,8,test,170,0.9529411764705882,0.9102219429627477,0.8304888634730319,0.6037989944729875,0.7316353287183842,0.8252731528569985,0.12783633424539664,0.4,0.6,2.6172748178443417,0.047058823529411764
student::random_forest,probe_only,20,8,test,170,0.9470588235294117,0.8866364684977935,0.7811173572167658,0.5793629623011312,0.7316353287183842,0.7918739562727367,0.15227236641725303,0.12941176470588237,0.8705882352941177,2.8828507274773463,0.052941176470588235
student::random_forest,semantic_pca8_plus_probe,20,8,test,170,0.9352941176470588,0.8656001086510917,0.7738980902388475,0.5793629623011312,0.7316353287183842,0.7918739562727367,0.15227236641725303,0.12941176470588237,0.8705882352941177,2.8716328527439354,0.06470588235294118
student::extra_trees,probe_only,5,8,test,170,0.9294117647058824,0.8644739102587159,0.832735294117647,0.5982326834123611,0.7316353287183842,0.8176651125640606,0.13340264530602303,0.38823529411764707,0.611764705882353,2.605127296105756,0.07058823529411765
student::extra_trees,probe_only,10,8,test,170,0.9294117647058824,0.8644739102587159,0.832735294117647,0.5982326834123611,0.7316353287183842,0.8176651125640606,0.13340264530602303,0.38823529411764707,0.611764705882353,2.605127296105756,0.07058823529411765
student::extra_trees,semantic_pca8_plus_probe,5,8,test,170,0.9294117647058824,0.8644739102587159,0.8210147058823529,0.5982326834123611,0.7316353287183842,0.8176651125640606,0.13340264530602303,0.38823529411764707,0.611764705882353,2.605127296105756,0.07058823529411765
student::extra_trees,semantic_pca8_plus_probe,10,8,test,170,0.9294117647058824,0.8644739102587159,0.8210147058823529,0.5982326834123611,0.7316353287183842,0.8176651125640606,0.13340264530602303,0.38823529411764707,0.611764705882353,2.605127296105756,0.07058823529411765
student::tree_classifier,probe_only,20,8,test,170,0.9235294117647059,0.9200257495533037,0.9427747252747254,0.5435224090990833,0.7316353287183842,0.7428870473644009,0.18811291961930085,0.14705882352941177,0.8529411764705882,2.7669138768417585,0.07647058823529412
student::tree_classifier,semantic_pca8_plus_probe,20,8,test,170,0.9235294117647059,0.9200257495533037,0.9427747252747254,0.5435224090990833,0.7316353287183842,0.7428870473644009,0.18811291961930085,0.14705882352941177,0.8529411764705882,2.7669138768417585,0.07647058823529412
student::random_forest,probe_only,40,8,test,170,0.9176470588235294,0.828577070148858,0.7505210286899654,0.5834154413187433,0.7316353287183842,0.7974128892063213,0.1482198873996408,0.23529411764705882,0.7647058823529411,2.963146425864292,0.08235294117647059
student::extra_trees,semantic_pca8_plus_probe,20,8,test,170,0.9117647058823529,0.8207067948083338,0.7547132352941175,0.5793509715522757,0.7316353287183842,0.7918575673035538,0.15228435716610858,0.12941176470588237,0.8705882352941177,2.857029674586804,0.08823529411764706
student::random_forest,semantic_pca8_plus_probe,40,8,test,170,0.9117647058823529,0.8149445136878926,0.746066493908424,0.5775823360960808,0.7316353287183842,0.7894401943490615,0.15405299262230338,0.22941176470588234,0.7705882352941177,2.9728094585617884,0.08823529411764706
student::random_forest,probe_only,30,8,test,170,0.9117647058823529,0.8517948928754799,0.7755551259169605,0.5616216904508795,0.7316353287183842,0.7676251657156579,0.17001363826750468,0.13529411764705881,0.8647058823529412,2.8753251253354164,0.08823529411764706
student::random_forest,semantic_pca8_plus_probe,30,8,test,170,0.9117647058823529,0.8549649442243538,0.7747058103735772,0.5557393375097031,0.7316353287183842,0.7595851590206824,0.17589599120868113,0.13529411764705881,0.8647058823529412,2.88143090890263,0.08823529411764706
student::extra_trees,probe_only,20,8,test,170,0.9058823529411765,0.8143687861302297,0.7549705882352941,0.5735298570784686,0.7316353287183842,0.7839012614154771,0.1581054716399156,0.12352941176470589,0.8764705882352941,2.864928908733252,0.09411764705882353
student::extra_trees,semantic_pca8_plus_probe,30,8,test,170,0.8941176470588236,0.8054940763306391,0.7485441176470589,0.5675862656699227,0.7316353287183842,0.7757775539136026,0.1640490630484615,0.12941176470588237,0.8705882352941177,2.839198480143156,0.10588235294117647
student::extra_trees,probe_only,30,8,test,170,0.8823529411764706,0.7840048211598184,0.7522132352941177,0.5558827982549391,0.7316353287183842,0.7597812413305502,0.175752530463445,0.12352941176470589,0.8764705882352941,2.8645872000678416,0.11764705882352941
student::extra_trees,semantic_pca8_plus_probe,40,8,test,170,0.8705882352941177,0.7483205942543223,0.7152573529411764,0.5780855193069837,0.7316353287183842,0.7901279457344196,0.1535498094114005,0.20588235294117646,0.7941176470588235,2.9377460122281285,0.12941176470588237
student::extra_trees,probe_only,40,8,test,170,0.8647058823529412,0.7504391988468277,0.7181029411764706,0.5722836756795516,0.7316353287183842,0.7821979792611011,0.1593516530388325,0.2,0.8,2.9350833453170946,0.13529411764705881
tree_exact_state_assignment,probe_only,5,8,train,492,1.0,1.0,1.0,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
student::extra_trees,probe_only,5,8,train,492,1.0,1.0,1.0,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
student::histgb,probe_only,5,8,train,492,1.0,1.0,0.9999519548918762,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
tree_exact_state_assignment,probe_only,10,8,train,492,1.0,1.0,1.0,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
student::extra_trees,probe_only,10,8,train,492,1.0,1.0,1.0,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
student::histgb,probe_only,10,8,train,492,1.0,1.0,0.9999519548918762,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,5,8,train,492,1.0,1.0,1.0,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
student::extra_trees,semantic_pca8_plus_probe,5,8,train,492,1.0,1.0,1.0,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
student::histgb,semantic_pca8_plus_probe,5,8,train,492,1.0,1.0,0.9999521117557836,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,10,8,train,492,1.0,1.0,1.0,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
student::extra_trees,semantic_pca8_plus_probe,10,8,train,492,1.0,1.0,1.0,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
student::histgb,semantic_pca8_plus_probe,10,8,train,492,1.0,1.0,0.9999521117557836,0.6263259956407902,0.771075167214996,0.8122761856058502,0.14474917157420578,0.35365853658536583,0.6463414634146342,2.7618124792553127,0.0
tree_exact_state_assignment,probe_only,20,8,train,492,1.0,1.0,1.0,0.6163350149939767,0.771075167214996,0.7993189784856944,0.15474015222101933,0.11788617886178862,0.8821138211382114,2.9007421222861645,0.0
student::extra_trees,probe_only,20,8,train,492,1.0,1.0,1.0,0.6163350149939767,0.771075167214996,0.7993189784856944,0.15474015222101933,0.11788617886178862,0.8821138211382114,2.9007421222861645,0.0
student::histgb,probe_only,20,8,train,492,1.0,1.0,0.9999540104289917,0.6163350149939767,0.771075167214996,0.7993189784856944,0.15474015222101933,0.11788617886178862,0.8821138211382114,2.9007421222861645,0.0
tree_exact_state_assignment,semantic_pca8_plus_probe,20,8,train,492,1.0,1.0,1.0,0.6163350149939767,0.771075167214996,0.7993189784856944,0.15474015222101933,0.11788617886178862,0.8821138211382114,2.9007421222861645,0.0
student::extra_trees,semantic_pca8_plus_probe,20,8,train,492,1.0,1.0,1.0,0.6163350149939767,0.771075167214996,0.7993189784856944,0.15474015222101933,0.11788617886178862,0.8821138211382114,2.9007421222861645,0.0
student::histgb,semantic_pca8_plus_probe,20,8,train,492,1.0,1.0,0.9999532636676808,0.6163350149939767,0.771075167214996,0.7993189784856944,0.15474015222101933,0.11788617886178862,0.8821138211382114,2.9007421222861645,0.0
tree_exact_state_assignment,probe_only,40,8,train,492,1.0,1.0,1.0,0.6066596886038228,0.771075167214996,0.786771140348072,0.16441547861117325,0.1991869918699187,0.8008130081300813,2.970747318656,0.0
