method,split,n_queries,state_accuracy,balanced_state_accuracy,frontier_precision,frontier_recall,frontier_f1,mean_utility,oracle_utility,oracle_utility_ratio,oracle_regret,frontier_call_rate,local_call_rate,actual_probe_rate,mean_confidence,confidence_threshold
true_action_state_oracle,test,170,1.0,1.0,1.0,1.0,1.0,0.5596813583217429,0.7316353287183842,0.764973117553173,0.1719539703966413,0.11764705882352941,0.8823529411764706,0.0,1.0,
always_probe::semantic_pca8_plus_probe::histgb,test,170,0.9117647058823529,0.7116666666666667,0.6923076923076923,0.45,0.5454545454545454,0.5036958908210163,0.7316353287183842,0.6884521168535525,0.22793943789736784,0.07647058823529412,0.9235294117647059,1.0,0.9554244000296652,
always_probe::probe_only::histgb,test,170,0.9058823529411765,0.7083333333333334,0.6428571428571429,0.45,0.5294117647058824,0.4997275239378674,0.7316353287183842,0.6830281484810842,0.23190780478051673,0.08235294117647059,0.9176470588235294,1.0,0.9671840311944931,
always_probe::probe_only::extratrees,test,170,0.9,0.6833333333333333,0.6153846153846154,0.4,0.48484848484848486,0.4973724496183675,0.7316353287183842,0.6798092302207738,0.2342628791000166,0.07647058823529412,0.9235294117647059,1.0,0.8917352941176472,
always_probe::semantic_pca8_plus_probe::extratrees,test,170,0.9,0.6616666666666666,0.6363636363636364,0.35,0.45161290322580644,0.49454202775495093,0.7316353287183842,0.6759406063964231,0.23709330096343326,0.06470588235294118,0.9352941176470588,1.0,0.8903235294117648,
active_probe::rf::probe_only::extratrees::rate_0.2,test,170,0.8941176470588236,0.615,0.625,0.25,0.35714285714285715,0.489486431351303,0.7316353287183842,0.669030611477911,0.2421488973670812,0.047058823529411764,0.9529411764705882,0.11764705882352941,0.8869360739280866,0.73
active_probe::rf::probe_only::extratrees::rate_0.3,test,170,0.8941176470588236,0.615,0.625,0.25,0.35714285714285715,0.489486431351303,0.7316353287183842,0.669030611477911,0.2421488973670812,0.047058823529411764,0.9529411764705882,0.11764705882352941,0.8869360739280866,0.73
active_probe::rf::probe_only::extratrees::rate_0.5,test,170,0.8941176470588236,0.615,0.625,0.25,0.35714285714285715,0.489486431351303,0.7316353287183842,0.669030611477911,0.2421488973670812,0.047058823529411764,0.9529411764705882,0.11764705882352941,0.8869360739280866,0.73
active_probe::rf::probe_only::extratrees::rate_0.75,test,170,0.8941176470588236,0.615,0.625,0.25,0.35714285714285715,0.489486431351303,0.7316353287183842,0.669030611477911,0.2421488973670812,0.047058823529411764,0.9529411764705882,0.11764705882352941,0.8869360739280866,0.73
active_probe::rf::probe_only::extratrees::rate_1,test,170,0.8941176470588236,0.615,0.625,0.25,0.35714285714285715,0.489486431351303,0.7316353287183842,0.669030611477911,0.2421488973670812,0.047058823529411764,0.9529411764705882,0.11764705882352941,0.8869360739280866,0.73
active_probe::extratrees::probe_only::rf::rate_0.2,test,170,0.8941176470588236,0.615,0.625,0.25,0.35714285714285715,0.4875407896024785,0.7316353287183842,0.6663713061211936,0.24409453911590567,0.047058823529411764,0.9529411764705882,0.14705882352941177,0.8899699859853035,0.79
active_probe::extratrees::probe_only::rf::rate_0.3,test,170,0.8941176470588236,0.615,0.625,0.25,0.35714285714285715,0.4875407896024785,0.7316353287183842,0.6663713061211936,0.24409453911590567,0.047058823529411764,0.9529411764705882,0.14705882352941177,0.8899699859853035,0.79
active_probe::extratrees::probe_only::rf::rate_0.5,test,170,0.8941176470588236,0.615,0.625,0.25,0.35714285714285715,0.4875407896024785,0.7316353287183842,0.6663713061211936,0.24409453911590567,0.047058823529411764,0.9529411764705882,0.14705882352941177,0.8899699859853035,0.79
active_probe::extratrees::probe_only::rf::rate_0.75,test,170,0.8941176470588236,0.615,0.625,0.25,0.35714285714285715,0.4875407896024785,0.7316353287183842,0.6663713061211936,0.24409453911590567,0.047058823529411764,0.9529411764705882,0.14705882352941177,0.8899699859853035,0.79
active_probe::extratrees::probe_only::rf::rate_1,test,170,0.8941176470588236,0.615,0.625,0.25,0.35714285714285715,0.4875407896024785,0.7316353287183842,0.6663713061211936,0.24409453911590567,0.047058823529411764,0.9529411764705882,0.14705882352941177,0.8899699859853035,0.79
active_probe::extratrees::probe_only::rf::rate_0.1,test,170,0.8941176470588236,0.5716666666666667,0.75,0.15,0.25,0.48545433101068297,0.7316353287183842,0.6635195321432332,0.2461809977077012,0.023529411764705882,0.9764705882352941,0.041176470588235294,0.8937625980405766,0.73
active_probe::logreg::probe_only::extratrees::rate_0.5,test,170,0.888235294117647,0.6333333333333333,0.5454545454545454,0.3,0.3870967741935484,0.48775037635889457,0.7316353287183842,0.6666577695384034,0.24388495235948954,0.06470588235294118,0.9352941176470588,0.2823529411764706,0.9489507721879855,0.99
active_probe::logreg::probe_only::extratrees::rate_0.75,test,170,0.888235294117647,0.6333333333333333,0.5454545454545454,0.3,0.3870967741935484,0.48775037635889457,0.7316353287183842,0.6666577695384034,0.24388495235948954,0.06470588235294118,0.9352941176470588,0.2823529411764706,0.9489507721879855,0.99
active_probe::logreg::probe_only::extratrees::rate_1,test,170,0.888235294117647,0.6333333333333333,0.5454545454545454,0.3,0.3870967741935484,0.48775037635889457,0.7316353287183842,0.6666577695384034,0.24388495235948954,0.06470588235294118,0.9352941176470588,0.2823529411764706,0.9489507721879855,0.99
active_probe::rf::semantic_pca8_plus_probe::extratrees::rate_0.2,test,170,0.888235294117647,0.6116666666666667,0.5555555555555556,0.25,0.3448275862068966,0.4860076867130893,0.7316353287183842,0.6642758593470818,0.24562764200529486,0.052941176470588235,0.9470588235294117,0.11764705882352941,0.8851713680457336,0.73
active_probe::rf::semantic_pca8_plus_probe::extratrees::rate_0.3,test,170,0.888235294117647,0.6116666666666667,0.5555555555555556,0.25,0.3448275862068966,0.4860076867130893,0.7316353287183842,0.6642758593470818,0.24562764200529486,0.052941176470588235,0.9470588235294117,0.11764705882352941,0.8851713680457336,0.73
active_probe::rf::semantic_pca8_plus_probe::extratrees::rate_0.5,test,170,0.888235294117647,0.6116666666666667,0.5555555555555556,0.25,0.3448275862068966,0.4860076867130893,0.7316353287183842,0.6642758593470818,0.24562764200529486,0.052941176470588235,0.9470588235294117,0.11764705882352941,0.8851713680457336,0.73
active_probe::rf::semantic_pca8_plus_probe::extratrees::rate_0.75,test,170,0.888235294117647,0.6116666666666667,0.5555555555555556,0.25,0.3448275862068966,0.4860076867130893,0.7316353287183842,0.6642758593470818,0.24562764200529486,0.052941176470588235,0.9470588235294117,0.11764705882352941,0.8851713680457336,0.73
active_probe::rf::semantic_pca8_plus_probe::extratrees::rate_1,test,170,0.888235294117647,0.6116666666666667,0.5555555555555556,0.25,0.3448275862068966,0.4860076867130893,0.7316353287183842,0.6642758593470818,0.24562764200529486,0.052941176470588235,0.9470588235294117,0.11764705882352941,0.8851713680457336,0.73
active_probe::extratrees::semantic_pca8_plus_probe::extratrees::rate_0.2,test,170,0.888235294117647,0.6116666666666667,0.5555555555555556,0.25,0.3448275862068966,0.4860076867130893,0.7316353287183842,0.6642758593470818,0.24562764200529486,0.052941176470588235,0.9470588235294117,0.14705882352941177,0.893125,0.79
active_probe::extratrees::semantic_pca8_plus_probe::extratrees::rate_0.3,test,170,0.888235294117647,0.6116666666666667,0.5555555555555556,0.25,0.3448275862068966,0.4860076867130893,0.7316353287183842,0.6642758593470818,0.24562764200529486,0.052941176470588235,0.9470588235294117,0.14705882352941177,0.893125,0.79
