method,split,state_method,predictor,k,policy_kind,n_queries,mean_quality,mean_utility,oracle_mean_utility,utility_gap_to_oracle,oracle_utility_ratio,remote_cost_total_usd,frontier_call_rate,mean_latency_s,confidence_threshold,active_probe_rate,selected_models_json,strategy,budget,labeled_queries,state_accuracy,mean_confidence
relative_kmeans_k16_knn_active_low_confidence_active_labels_b64,test,relative_kmeans,knn,16,active_query_state_learning_active_low_confidence,170,0.31176470588235294,0.31176470588235294,0.7316353287183842,0.41987062283603127,0.4261203548337059,0.0,0.0,1.693405977417441,,0.0,"{""qwen3-14b-awq-local"": 69, ""qwen3-32b-awq-local"": 2, ""qwen3-4b-local"": 39, ""qwen3-8b-local"": 60}",active_low_confidence,64,64,0.28823529411764703,0.27851852658944537
relative_kmeans_k16_knn_random_active_labels_b64,test,relative_kmeans,knn,16,active_query_state_learning_random,170,0.4117647058823529,0.41110007580293056,0.7316353287183842,0.32053525291545365,0.5618920514992903,0.002328,0.07647058823529412,1.3353535343618954,,0.0,"{""gemini-3.5-flash"": 13, ""qwen3-14b-awq-local"": 105, ""qwen3-32b-awq-local"": 9, ""qwen3-4b-local"": 34, ""qwen3-8b-local"": 9}",random,64,64,0.2823529411764706,0.2533562576835756
relative_kmeans_k16_knn_active_low_confidence_active_labels_b128,test,relative_kmeans,knn,16,active_query_state_learning_active_low_confidence,170,0.43529411764705883,0.42847723417566397,0.7316353287183842,0.30315809454272025,0.5856431713408831,0.0238775,0.023529411764705882,1.2699106426799998,,0.0,"{""gemini-3.5-flash"": 1, ""gpt-5.5"": 3, ""qwen3-14b-awq-local"": 87, ""qwen3-32b-awq-local"": 20, ""qwen3-4b-local"": 29, ""qwen3-8b-local"": 30}",active_low_confidence,128,128,0.23529411764705882,0.3910448399997818
relative_kmeans_k16_knn_random_active_labels_b128,test,relative_kmeans,knn,16,active_query_state_learning_random,170,0.4294117647058823,0.4171749200047652,0.7316353287183842,0.314460408713619,0.5701951554684166,0.042862,0.06470588235294118,1.5116113298079548,,0.0,"{""gemini-3.5-flash"": 5, ""gpt-5.5"": 6, ""qwen3-14b-awq-local"": 92, ""qwen3-32b-awq-local"": 9, ""qwen3-4b-local"": 7, ""qwen3-8b-local"": 51}",random,128,128,0.25882352941176473,0.29828561970920486
relative_kmeans_k16_knn_active_low_confidence_active_labels_b256,test,relative_kmeans,knn,16,active_query_state_learning_active_low_confidence,170,0.47058823529411764,0.4592594043247886,0.7316353287183842,0.2723759243935956,0.6277162765353058,0.03968150000000001,0.041176470588235294,1.2256908963708317,,0.0,"{""gemini-3.5-flash"": 4, ""gpt-5.5"": 3, ""qwen3-14b-awq-local"": 88, ""qwen3-32b-awq-local"": 28, ""qwen3-4b-local"": 8, ""qwen3-8b-local"": 39}",active_low_confidence,256,256,0.23529411764705882,0.4194540758665091
relative_kmeans_k16_knn_random_active_labels_b256,test,relative_kmeans,knn,16,active_query_state_learning_random,170,0.4411764705882353,0.43095878234618795,0.7316353287183842,0.30067654637219626,0.589034954204719,0.0357895,0.047058823529411764,1.3257750861784992,,0.0,"{""gemini-3.5-flash"": 4, ""gpt-5.5"": 4, ""qwen3-14b-awq-local"": 89, ""qwen3-32b-awq-local"": 20, ""qwen3-4b-local"": 37, ""qwen3-8b-local"": 16}",random,256,256,0.29411764705882354,0.30838852749704104
relative_kmeans_k16_knn_active_low_confidence_active_labels_b492,test,relative_kmeans,knn,16,active_query_state_learning_active_low_confidence,170,0.43529411764705883,0.423938450239815,0.7316353287183842,0.3076968784785692,0.5794395562915666,0.039775500000000005,0.03529411764705882,1.2215078213635613,,0.0,"{""gemini-3.5-flash"": 2, ""gpt-5.5"": 4, ""qwen3-14b-awq-local"": 84, ""qwen3-32b-awq-local"": 35, ""qwen3-4b-local"": 27, ""qwen3-8b-local"": 18}",active_low_confidence,492,492,0.27058823529411763,0.4032533157327447
relative_kmeans_k16_knn_random_active_labels_b492,test,relative_kmeans,knn,16,active_query_state_learning_random,170,0.43529411764705883,0.423938450239815,0.7316353287183842,0.3076968784785692,0.5794395562915666,0.039775500000000005,0.03529411764705882,1.2215078213635613,,0.0,"{""gemini-3.5-flash"": 2, ""gpt-5.5"": 4, ""qwen3-14b-awq-local"": 84, ""qwen3-32b-awq-local"": 35, ""qwen3-4b-local"": 27, ""qwen3-8b-local"": 18}",random,492,492,0.27058823529411763,0.403253323857764
relative_kmeans_k16_mlp_active_low_confidence_active_labels_b64,test,relative_kmeans,mlp,16,active_query_state_learning_active_low_confidence,170,0.47058823529411764,0.4063195343924498,0.7316353287183842,0.32531579432593444,0.5553580020584918,0.225114,0.1588235294117647,2.263740002407747,,0.0,"{""gemini-3.5-flash"": 2, ""gpt-5.5"": 25, ""qwen3-14b-awq-local"": 77, ""qwen3-32b-awq-local"": 24, ""qwen3-4b-local"": 41, ""qwen3-8b-local"": 1}",active_low_confidence,64,64,0.06470588235294118,0.21769786033917496
relative_kmeans_k16_mlp_random_active_labels_b64,test,relative_kmeans,mlp,16,active_query_state_learning_random,170,0.4647058823529412,0.41952759560540287,0.7316353287183842,0.31210773311298134,0.5734107951570562,0.158246,0.11764705882352941,1.7270669782862944,,0.0,"{""gemini-3.5-flash"": 1, ""gpt-5.5"": 19, ""qwen3-14b-awq-local"": 82, ""qwen3-32b-awq-local"": 27, ""qwen3-4b-local"": 31, ""qwen3-8b-local"": 10}",random,64,64,0.21176470588235294,0.3874183386337495
