state_method,predictor,split,k,n_queries,state_accuracy,mean_confidence,ece,confidence_threshold,active_probe_rate,covered_state_accuracy,covered_queries
calibration_refined,knn,test,16,170,0.27058823529411763,0.40325332385776413,0.17018436191755637,0.26,0.19411764705882353,0.32116788321167883,137
calibration_refined,mlp,test,16,170,0.2823529411764706,0.3540176640679595,0.12655367006774823,0.28,0.37058823529411766,0.38317757009345793,107
calibration_refined,knn,test,24,170,0.2647058823529412,0.395657835164174,0.17963681954173336,0.26,0.2235294117647059,0.3181818181818182,132
calibration_refined,mlp,test,24,170,0.27058823529411763,0.5962824198024681,0.3256941845083503,0.35000000000000003,0.16470588235294117,0.29577464788732394,142
raw_kmeans,knn,test,16,170,0.3176470588235294,0.4195624906673996,0.19619605989102465,0.26,0.21176470588235294,0.373134328358209,134
raw_kmeans,mlp,test,16,170,0.31176470588235294,0.34199744954287964,0.07255944164586603,0.22,0.21176470588235294,0.35074626865671643,134
raw_kmeans,knn,test,24,170,0.31176470588235294,0.3953485182751965,0.17075711798141274,0.26,0.22941176470588234,0.35877862595419846,131
raw_kmeans,mlp,test,24,170,0.28823529411764703,0.40908796756568055,0.13060867774003482,0.27,0.28823529411764703,0.34710743801652894,121
relative_kmeans,knn,test,16,170,0.27058823529411763,0.40325332385776413,0.17018436191755637,0.26,0.19411764705882353,0.32116788321167883,137
relative_kmeans,mlp,test,16,170,0.2823529411764706,0.3540176640679595,0.12655367006774823,0.28,0.37058823529411766,0.38317757009345793,107
relative_kmeans,knn,test,24,170,0.2647058823529412,0.395657835164174,0.17963681954173336,0.26,0.2235294117647059,0.3181818181818182,132
relative_kmeans,mlp,test,24,170,0.27058823529411763,0.5962824198024681,0.3256941845083503,0.35000000000000003,0.16470588235294117,0.29577464788732394,142
two_stage_relative_kmeans,knn,test,16,170,0.25882352941176473,0.40191217545364716,0.17618306391660632,0.26,0.18235294117647058,0.302158273381295,139
two_stage_relative_kmeans,mlp,test,16,170,0.2411764705882353,0.6143430565158349,0.3731665859275997,0.4,0.22941176470588234,0.24427480916030533,131
two_stage_relative_kmeans,knn,test,24,170,0.24705882352941178,0.39808657970141015,0.18011050124260786,0.26,0.19411764705882353,0.29927007299270075,137
two_stage_relative_kmeans,mlp,test,24,170,0.23529411764705882,0.35128194274796726,0.13384015719355913,0.24,0.20588235294117646,0.2518518518518518,135
calibration_refined,knn,val,16,152,0.27631578947368424,0.33602543660022083,0.08752814759049067,0.26,0.17763157894736842,0.312,125
calibration_refined,mlp,val,16,152,0.23684210526315788,0.37056006420488,0.13371795894172217,0.28,0.28289473684210525,0.29357798165137616,109
calibration_refined,knn,val,24,152,0.2631578947368421,0.3233938407675525,0.08107452805736369,0.26,0.27631578947368424,0.3090909090909091,110
calibration_refined,mlp,val,24,152,0.26973684210526316,0.5908763688469144,0.3211395267416512,0.35000000000000003,0.1513157894736842,0.2868217054263566,129
raw_kmeans,knn,val,16,152,0.3092105263157895,0.3427724204345965,0.033561894118806994,0.26,0.23026315789473684,0.3418803418803419,117
raw_kmeans,mlp,val,16,152,0.2565789473684211,0.3457712464889664,0.08925609855475405,0.22,0.27631578947368424,0.33636363636363636,110
raw_kmeans,knn,val,24,152,0.27631578947368424,0.32478188706631955,0.07742481395432778,0.26,0.28289473684210525,0.3211009174311927,109
raw_kmeans,mlp,val,24,152,0.27631578947368424,0.40097096314304104,0.12465517366935683,0.27,0.29605263157894735,0.35514018691588783,107
relative_kmeans,knn,val,16,152,0.27631578947368424,0.33602543660022083,0.08752814759049067,0.26,0.17763157894736842,0.312,125
relative_kmeans,mlp,val,16,152,0.23684210526315788,0.37056006420488,0.13371795894172217,0.28,0.28289473684210525,0.29357798165137616,109
relative_kmeans,knn,val,24,152,0.2631578947368421,0.3233938407675525,0.08107452805736369,0.26,0.27631578947368424,0.3090909090909091,110
relative_kmeans,mlp,val,24,152,0.26973684210526316,0.5908763688469144,0.3211395267416512,0.35000000000000003,0.1513157894736842,0.2868217054263566,129
two_stage_relative_kmeans,knn,val,16,152,0.29605263157894735,0.3316440738778825,0.06480220741717507,0.26,0.23026315789473684,0.3333333333333333,117
two_stage_relative_kmeans,mlp,val,16,152,0.26973684210526316,0.5674727952832211,0.2977359531779579,0.4,0.26973684210526316,0.3333333333333333,111
two_stage_relative_kmeans,knn,val,24,152,0.27631578947368424,0.325039875392632,0.06956266794560115,0.26,0.26973684210526316,0.3153153153153153,111
two_stage_relative_kmeans,mlp,val,24,152,0.27631578947368424,0.3756067806836942,0.10479836992315324,0.24,0.2894736842105263,0.3425925925925926,108
