group_method,split,k,n_queries,n_groups,usable_pairwise_groups,mean_group_pairwise_cosine,mean_query_to_group_centroid_cosine,weighted_benchmark_purity
benchmark_label,all,-1,814,9,9,0.3874422046873305,0.6136237607264086,1.0
benchmark_label,test,-1,170,9,9,0.4175572809245851,0.6624049711711719,1.0
benchmark_label,train,-1,492,9,9,0.42479004959265393,0.634918436782669,1.0
benchmark_label,val,-1,152,9,9,0.4162842747237947,0.6180907680239129,1.0
embedding_cluster_k16,all,16,814,16,16,0.4431025329977274,0.6606673180656478,0.6928746928746928
random_size_matched_k16,all,16,814,16,16,0.18143384158611298,0.4430064788912987,0.1891891891891892
utility_state_k16,all,16,814,16,16,0.252141734585166,0.5053910369959292,0.4090909090909091
embedding_cluster_k16,test,16,170,16,15,0.43172775308291117,0.6961869872924111,0.6529411764705882
random_size_matched_k16,test,16,170,16,16,0.184002123773098,0.508161810048565,0.2823529411764706
utility_state_k16,test,16,170,16,15,0.28006132145722706,0.5684014416666646,0.4823529411764706
embedding_cluster_k16,train,16,492,16,16,0.44387779757380486,0.6835291055410493,0.725609756097561
random_size_matched_k16,train,16,492,16,16,0.18837294448167086,0.45981459058391816,0.20121951219512196
utility_state_k16,train,16,492,16,16,0.26296169590204954,0.5217636760190952,0.3983739837398374
embedding_cluster_k16,val,16,152,16,16,0.42519534192979336,0.6664260875440636,0.7368421052631579
random_size_matched_k16,val,16,152,16,16,0.18466190714389086,0.5085607975732519,0.28289473684210525
utility_state_k16,val,16,152,16,15,0.24401329159736634,0.5544341366364247,0.46710526315789475
embedding_cluster_k24,all,24,814,24,24,0.4572049987812837,0.6809886636254465,0.7358722358722358
random_size_matched_k24,all,24,814,24,24,0.17456914422412714,0.45223527154591875,0.20147420147420148
utility_state_k24,all,24,814,24,24,0.2519840157280366,0.5234103132307132,0.45454545454545453
embedding_cluster_k24,test,24,170,23,20,0.4387333832681179,0.7306865342310184,0.7470588235294118
random_size_matched_k24,test,24,170,22,21,0.18625859525941668,0.525351661944269,0.27647058823529413
utility_state_k24,test,24,170,23,18,0.2831927119857735,0.5971927762983368,0.5352941176470588
embedding_cluster_k24,train,24,492,24,24,0.4566389061510563,0.7013233456394532,0.7723577235772358
random_size_matched_k24,train,24,492,24,24,0.16962026602899036,0.472313548616624,0.21951219512195122
utility_state_k24,train,24,492,24,24,0.25352655599514645,0.5438171416584013,0.44308943089430897
embedding_cluster_k24,val,24,152,23,22,0.4315782379020344,0.7018094217446788,0.7763157894736842
random_size_matched_k24,val,24,152,23,21,0.1737132462717238,0.542207275419785,0.3092105263157895
utility_state_k24,val,24,152,22,20,0.24267620593309402,0.5852261993460812,0.506578947368421
